slice_type,target,count,eligible_count,actual_sum,mean_bias,median_bias,normalized_mean_bias,underprediction_rate,overprediction_rate,mean_abs_error,normalized_abs_error,ficr_fail_rate,near_boundary_fail_rate,large_fail_rate,impact_proxy,month,hour,actual_bin,high_generation_flag,near_zero_flag,recommended_next_audit_route
target+month,kpx_group_2,720,328,4287559.759,653.326985118572,373.39272645770507,0.03024661968141537,0.35555555555555557,0.6430555555555556,1799.973450569363,0.08333210419302606,0.25555555555555554,0.05277777777777778,0.07222222222222222,27.332930175312548,11.0,,,,,feature sufficiency audit
target+month,kpx_group_2,720,345,2939521.137,559.4617450997548,281.4758943734394,0.02590100671758124,0.3611111111111111,0.6319444444444444,1698.477643123696,0.07863322421868964,0.28194444444444444,0.034722222222222224,0.1125,27.128462355447926,6.0,,,,,feature sufficiency audit
target+month,kpx_group_3,720,293,3743238.812,-131.91533125649255,205.7567393230977,-0.00628168244078536,0.375,0.625,1909.0360250465706,0.09090647738317001,0.2972222222222222,0.03333333333333333,0.12777777777777777,26.635597873268814,11.0,,,,,feature sufficiency audit
target+month,kpx_group_1,720,330,2787976.166,713.296202407268,354.68012382636505,0.03302297233366981,0.31805555555555554,0.6694444444444444,1721.688552647564,0.07970780336331314,0.2708333333333333,0.03194444444444444,0.11527777777777778,26.303575109893334,6.0,,,,,feature sufficiency audit
target+month,kpx_group_3,696,256,3021744.186,804.4707350318452,354.6069088818015,0.038308130239611674,0.23563218390804597,0.7471264367816092,2095.9553228694613,0.0998073963271172,0.24568965517241378,0.02442528735632184,0.09913793103448276,25.550693459742003,2.0,,,,,feature sufficiency audit
target+month,kpx_group_2,744,315,2932983.778,318.58120460384737,355.3867243602052,0.014749129842770714,0.35080645161290325,0.646505376344086,1672.5328561306346,0.07743207667271455,0.22849462365591397,0.026881720430107527,0.07795698924731183,24.391104151905083,10.0,,,,,feature sufficiency audit
target+month,kpx_group_2,696,262,3498435.4,781.7787027570494,403.53911140729053,0.036193458460974506,0.22844827586206898,0.7370689655172413,1991.8365741319274,0.09221465620981145,0.22988505747126436,0.035919540229885055,0.09626436781609195,24.1602399269706,2.0,,,,,feature sufficiency audit
target+month,kpx_group_1,744,339,2956847.992,35.93626388416288,209.73924172752822,0.0016637159205630963,0.40725806451612906,0.592741935483871,1491.0816481008433,0.06903155778244645,0.1989247311827957,0.041666666666666664,0.05779569892473118,23.401698088249347,10.0,,,,,feature sufficiency audit
target+month,kpx_group_1,696,254,3318195.536,1045.9491788661667,727.9720461857777,0.04842357309565586,0.20545977011494254,0.7844827586206896,1973.3126701249746,0.09135706806134142,0.20402298850574713,0.022988505747126436,0.06752873563218391,23.20469528758072,2.0,,,,,feature sufficiency audit
target+month,kpx_group_3,720,295,2402619.776,236.18538242309657,194.3605450393452,0.011246922972528408,0.3277777777777778,0.6569444444444444,1501.190975762788,0.07148528456013276,0.24444444444444444,0.03611111111111111,0.08333333333333333,21.08815894523916,6.0,,,,,feature sufficiency audit
target+month,kpx_group_2,720,303,2204170.785,63.26577812459025,204.25450255523185,0.00292897120947177,0.37916666666666665,0.6180555555555556,1394.4189980024862,0.0645564350927077,0.19722222222222222,0.025,0.06666666666666667,19.560599833090432,9.0,,,,,feature sufficiency audit
target+month,kpx_group_1,720,285,1904291.668,-1.526374187596011,185.91030342349927,-7.066547164796343e-05,0.38333333333333336,0.6166666666666667,1337.910213346271,0.06194028765491995,0.20694444444444443,0.034722222222222224,0.06805555555555555,17.652981981652186,9.0,,,,,feature sufficiency audit
target+month,kpx_group_3,744,241,2160087.095,-257.6746633770758,50.06384089981846,-0.012270222065575036,0.44086021505376344,0.5524193548387096,1359.0259633474586,0.0647155220641647,0.20698924731182797,0.033602150537634407,0.0793010752688172,15.596440817463693,10.0,,,,,feature sufficiency audit
target+month,kpx_group_2,744,239,2373780.235,126.18582623504628,133.46617115575685,0.005841936399770662,0.3696236559139785,0.6276881720430108,1277.9111415856892,0.059162552851189314,0.2056451612903226,0.026881720430107527,0.06182795698924731,14.139850131434246,8.0,,,,,feature sufficiency audit
target+month,kpx_group_1,744,251,2251855.815,-138.4205205823122,112.66965072600368,-0.006408357434366306,0.3870967741935484,0.6129032258064516,1186.4037784521706,0.05492610085426715,0.1935483870967742,0.036290322580645164,0.06451612903225806,13.786451314421054,8.0,,,,,feature sufficiency audit
target+month,kpx_group_3,720,249,1494507.019,-26.715490343534746,103.28267825801869,-0.0012721662068349879,0.36527777777777776,0.6291666666666667,1119.677435450227,0.05331797311667748,0.19166666666666668,0.03888888888888889,0.043055555555555555,13.276175306052693,9.0,,,,,feature sufficiency audit
target+month,kpx_group_3,744,199,1796194.032,-73.4762028879019,28.788587598900577,-0.0034988668041858054,0.36693548387096775,0.6169354838709677,1073.2390283001876,0.05110662039524703,0.16263440860215053,0.020161290322580645,0.0739247311827957,10.17021745865416,8.0,,,,,feature sufficiency audit
target+actual_bin,kpx_group_2,1462,1462,14081041.273,900.5352413037274,936.8220906281867,0.04169144635665404,0.42270861833105333,0.5772913816689467,3380.255991492875,0.15649333293948497,0.6990424076607387,0.07523939808481532,0.3221614227086183,228.79325275752703,,,30-60%,,,feature sufficiency audit
