slice_type,model_id,target,count,candidate_better_abs_error_rate,anchor_fail_candidate_success_count,anchor_fail_candidate_success_rate,candidate_norm_abs_error,anchor_norm_abs_error,actual_bin,month,hour,high_generation_flag,near_zero_flag
actual_bin,mlp_regressor_medium,,4497,0.46408716922392707,579,0.12875250166777852,0.1276431064934977,0.1226415449685317,10-30%,,,,
target,mlp_regressor_medium,kpx_group_3,8784,0.4495673952641166,552,0.06284153005464481,0.10524568487700939,0.09409083282851897,,,,,
target+near_zero_flag,mlp_regressor_medium,kpx_group_3,4572,0.4407261592300962,552,0.12073490813648294,0.1547181767288779,0.13825807891838035,,,,,False
target+high_generation_flag,extra_trees_wide,kpx_group_2,7831,0.482058485506321,547,0.06985059379389605,0.09562875018140304,0.09990926308854271,,,,False,
actual_bin,explainable_boosting,,4497,0.514342895263509,544,0.12096953524571936,0.11895551934882909,0.1226415449685317,10-30%,,,,
target+near_zero_flag,explainable_boosting,kpx_group_1,4995,0.4828828828828829,537,0.10750750750750751,0.122418866595048,0.11800893368961968,,,,,False
target,explainable_boosting,kpx_group_1,8784,0.41712204007285975,537,0.061133879781420764,0.10715362449343648,0.09505471290658841,,,,,
target+near_zero_flag,explainable_boosting,kpx_group_3,4572,0.4267279090113736,536,0.11723534558180228,0.1562466712729556,0.13825807891838035,,,,,False
target,explainable_boosting,kpx_group_3,8784,0.41313752276867033,536,0.0610200364298725,0.11112945830726237,0.09409083282851897,,,,,
actual_bin,lgbm_l1_baseline,,4394,0.5436959490213928,514,0.11697769685935366,0.13933042867986123,0.1464823624365037,30-60%,,,,
target+near_zero_flag,extra_trees_wide,kpx_group_1,4995,0.5021021021021022,507,0.1015015015015015,0.11992867916705202,0.11800893368961968,,,,,False
target,extra_trees_wide,kpx_group_1,8784,0.4544626593806922,507,0.05771857923497268,0.09739732873759661,0.09505471290658841,,,,,
target+high_generation_flag,mlp_regressor_medium,kpx_group_3,8072,0.4628344895936571,506,0.06268582755203171,0.09182454175746188,0.08504190260531146,,,,False,
target+high_generation_flag,explainable_boosting,kpx_group_1,7944,0.4276183282980866,494,0.062185297079556896,0.10468704436059273,0.09463252111207307,,,,False,
target+high_generation_flag,explainable_boosting,kpx_group_3,8072,0.4262884043607532,492,0.06095143706640238,0.09772086283441553,0.08504190260531146,,,,False,
target+high_generation_flag,extra_trees_wide,kpx_group_1,7944,0.48439073514602216,482,0.06067472306143001,0.09189452054680967,0.09463252111207307,,,,False,
target+high_generation_flag,mlp_regressor_medium,kpx_group_1,7944,0.4059667673716012,481,0.06054884189325277,0.11354658843615544,0.09463252111207307,,,,False,
target+near_zero_flag,ngboost_normal_260_lr03,kpx_group_1,4995,0.47727727727727726,477,0.09549549549549549,0.12195701837126655,0.11800893368961968,,,,,False
target,ngboost_normal_260_lr03,kpx_group_1,8784,0.4216757741347905,477,0.05430327868852459,0.09989348828408028,0.09505471290658841,,,,,
actual_bin,extra_trees_wide,,3135,0.46283891547049444,475,0.15151515151515152,0.12377555053519322,0.11527362042581495,60-80%,,,,
actual_bin,mlp_regressor_medium,,3135,0.43349282296650715,469,0.1496012759170654,0.1321576480862815,0.11527362042581495,60-80%,,,,
target,lgbm_l1_baseline,kpx_group_1,8784,0.5486111111111112,463,0.052709471766848814,0.09100476009274057,0.09505471290658841,,,,,
target+near_zero_flag,lgbm_l1_baseline,kpx_group_1,4995,0.48428428428428427,463,0.09269269269269269,0.11785922557727523,0.11800893368961968,,,,,False
actual_bin,ngboost_normal_260_lr03,,4394,0.5669094219390077,459,0.10446062812926718,0.13702571704199545,0.1464823624365037,30-60%,,,,
target+near_zero_flag,extra_trees_wide,kpx_group_3,4572,0.4840332458442695,459,0.10039370078740158,0.14482430613686129,0.13825807891838035,,,,,False
target+high_generation_flag,ngboost_normal_260_lr03,kpx_group_1,7944,0.45040281973816715,459,0.05777945619335347,0.09497985078270671,0.09463252111207307,,,,False,
target,extra_trees_wide,kpx_group_3,8784,0.42714025500910746,459,0.05225409836065574,0.0998650516314819,0.09409083282851897,,,,,
target+high_generation_flag,extra_trees_wide,kpx_group_3,8072,0.4604806739345887,458,0.056739345887016845,0.08368049642627441,0.08504190260531146,,,,False,
target+near_zero_flag,ngboost_normal_260_lr03,kpx_group_2,4982,0.5285026093938178,453,0.0909273384183059,0.12462478763111363,0.12724201563281665,,,,,False
target,ngboost_normal_260_lr03,kpx_group_2,8784,0.45309653916211295,453,0.05157103825136612,0.0989557086338557,0.09743167261454445,,,,,
target,lgbm_l1_baseline,kpx_group_2,8784,0.555783242258652,442,0.05031876138433516,0.09227266273268482,0.09743167261454445,,,,,
target+near_zero_flag,lgbm_l1_baseline,kpx_group_2,4982,0.504616619831393,442,0.08871938980329185,0.12458699411380977,0.12724201563281665,,,,,False
target+high_generation_flag,lgbm_l1_baseline,kpx_group_1,7944,0.5717522658610272,431,0.05425478348439074,0.08820864968320792,0.09463252111207307,,,,False,
actual_bin,hist_gbdt_quantile_055,,4394,0.542558033682294,420,0.09558488848429676,0.14089596185779585,0.1464823624365037,30-60%,,,,
actual_bin,extra_trees_wide,,4497,0.6270847231487658,418,0.09295085612630642,0.10902031862045637,0.1226415449685317,10-30%,,,,
target+high_generation_flag,ngboost_normal_260_lr03,kpx_group_2,7831,0.471714978929894,415,0.05299450900268165,0.09864536525924078,0.09990926308854271,,,,False,
target+high_generation_flag,lgbm_l1_baseline,kpx_group_2,7831,0.5723406972289619,408,0.05210062571829907,0.09280721889330414,0.09990926308854271,,,,False,
actual_bin,ngboost_normal_260_lr03,,3135,0.4609250398724083,406,0.1295055821371611,0.12167307709537035,0.11527362042581495,60-80%,,,,
target,hist_gbdt_quantile_055,kpx_group_1,8784,0.5307377049180327,404,0.04599271402550091,0.09279339506364076,0.09505471290658841,,,,,
target+near_zero_flag,hist_gbdt_quantile_055,kpx_group_1,4995,0.5005005005005005,404,0.08088088088088088,0.11754466789891158,0.11800893368961968,,,,,False
actual_bin,ngboost_normal_260_lr03,,4497,0.5897264843228819,401,0.08917055814987769,0.11298454615911992,0.1226415449685317,10-30%,,,,
actual_bin,tabm_torch,,3135,0.3237639553429027,400,0.12759170653907495,0.17994024277006887,0.11527362042581495,60-80%,,,,
target+near_zero_flag,ngboost_normal_260_lr03,kpx_group_3,4572,0.4512248468941382,398,0.08705161854768154,0.14705132999189993,0.13825807891838035,,,,,False
target,ngboost_normal_260_lr03,kpx_group_3,8784,0.39651639344262296,398,0.04530965391621129,0.10155837890121146,0.09409083282851897,,,,,
target+high_generation_flag,ngboost_normal_260_lr03,kpx_group_3,8072,0.42158077304261643,392,0.048562933597621406,0.0871240246315624,0.08504190260531146,,,,False,
actual_bin,lgbm_l1_baseline,,4497,0.548810317989771,390,0.0867244829886591,0.11075110864883429,0.1226415449685317,10-30%,,,,
actual_bin,explainable_boosting,,3135,0.40893141945773526,388,0.12376395534290272,0.13587035169023556,0.11527362042581495,60-80%,,,,
target,hist_gbdt_quantile_055,kpx_group_2,8784,0.5199225865209471,384,0.04371584699453552,0.09502678799094687,0.09743167261454445,,,,,
target+near_zero_flag,hist_gbdt_quantile_055,kpx_group_2,4982,0.5156563629064632,384,0.07707747892412686,0.1250771867912091,0.12724201563281665,,,,,False
target+high_generation_flag,hist_gbdt_quantile_055,kpx_group_1,7944,0.540281973816717,360,0.045317220543806644,0.09120766407961581,0.09463252111207307,,,,False,
target,lgbm_l1_baseline,kpx_group_3,8784,0.5104735883424408,351,0.039959016393442626,0.09432564539991645,0.09409083282851897,,,,,
target+near_zero_flag,lgbm_l1_baseline,kpx_group_3,4572,0.4516622922134733,351,0.07677165354330709,0.14394733511787977,0.13825807891838035,,,,,False
target+high_generation_flag,lgbm_l1_baseline,kpx_group_3,8072,0.5398909811694748,344,0.04261645193260654,0.0814277131838858,0.08504190260531146,,,,False,
actual_bin,hist_gbdt_quantile_055,,4497,0.5374694240604848,337,0.07493884812096953,0.11643672769859363,0.1226415449685317,10-30%,,,,
target+high_generation_flag,hist_gbdt_quantile_055,kpx_group_2,7831,0.5258587664410675,334,0.04265100242625463,0.0966236095473572,0.09990926308854271,,,,False,
target,hist_gbdt_quantile_055,kpx_group_3,8784,0.4947632058287796,316,0.03597449908925319,0.0951118617775359,0.09409083282851897,,,,,
target+near_zero_flag,hist_gbdt_quantile_055,kpx_group_3,4572,0.46434820647419073,316,0.06911636045494313,0.14214425209447204,0.13825807891838035,,,,,False
target+high_generation_flag,hist_gbdt_quantile_055,kpx_group_3,8072,0.5121407333994054,305,0.037784935579781964,0.08395556984077988,0.08504190260531146,,,,False,
target+actual_bin,tabm_torch,kpx_group_2,1462,0.5109439124487004,288,0.19699042407660738,0.16239732891292685,0.15649333293948497,30-60%,,,,
actual_bin,lgbm_l1_baseline,,3135,0.4267942583732057,279,0.08899521531100478,0.12802405190910554,0.11527362042581495,60-80%,,,,
target+actual_bin,mlp_regressor_medium,kpx_group_2,1462,0.585499316005472,277,0.18946648426812585,0.14042695138414704,0.15649333293948497,30-60%,,,,
target+actual_bin,tabm_torch,kpx_group_3,1507,0.5348374253483743,275,0.18248175182481752,0.10442478795587291,0.11884664239133533,10-30%,,,,
target+actual_bin,tabm_torch,kpx_group_3,1448,0.5082872928176796,266,0.18370165745856354,0.15560820155207805,0.142959359710764,30-60%,,,,
target+actual_bin,tabm_torch,kpx_group_1,1484,0.5020215633423181,265,0.17857142857142858,0.14764947796017394,0.14005734159520486,30-60%,,,,
target+actual_bin,mlp_regressor_medium,kpx_group_2,1125,0.49422222222222223,251,0.22311111111111112,0.12484224855303182,0.11841741648640795,60-80%,,,,
actual_bin,hist_gbdt_quantile_055,,3135,0.43381180223285487,242,0.07719298245614035,0.12402761811539574,0.11527362042581495,60-80%,,,,
target+actual_bin,tabm_torch,kpx_group_1,1554,0.5527670527670527,237,0.1525096525096525,0.09894582251345305,0.11244462850592622,10-30%,,,,
target+actual_bin,tabm_torch,kpx_group_2,1436,0.5313370473537604,236,0.16434540389972144,0.12772399393043046,0.1376589031626291,10-30%,,,,
target+actual_bin,explainable_boosting,kpx_group_2,1462,0.5772913816689467,231,0.15800273597811218,0.14197358048752354,0.15649333293948497,30-60%,,,,
target+actual_bin,explainable_boosting,kpx_group_3,1448,0.5006906077348067,227,0.15676795580110497,0.14432060654715384,0.142959359710764,30-60%,,,,
target,catboost_quantile_055,kpx_group_1,8784,0.5192395264116576,226,0.025728597449908925,0.0947080107056602,0.09505471290658841,,,,,
target+near_zero_flag,catboost_quantile_055,kpx_group_1,4995,0.47107107107107105,226,0.045245245245245244,0.11979541908332973,0.11800893368961968,,,,,False
target+actual_bin,extra_trees_wide,kpx_group_3,1448,0.6429558011049724,223,0.15400552486187846,0.1190599769579597,0.142959359710764,30-60%,,,,
target+actual_bin,mlp_regressor_medium,kpx_group_3,1448,0.5124309392265194,221,0.1526243093922652,0.1462875608280435,0.142959359710764,30-60%,,,,
actual_bin,catboost_quantile_055,,4394,0.49681383705052345,217,0.04938552571688666,0.146623131116709,0.1464823624365037,30-60%,,,,
target+high_generation_flag,catboost_quantile_055,kpx_group_1,7944,0.5365055387713998,216,0.027190332326283987,0.09303115835764762,0.09463252111207307,,,,False,
actual_bin,catboost_quantile_055,,4497,0.5092283744718701,206,0.045808316655548145,0.11991366601674561,0.1226415449685317,10-30%,,,,
target+actual_bin,extra_trees_wide,kpx_group_2,1125,0.5404444444444444,204,0.18133333333333335,0.11732049536139882,0.11841741648640795,60-80%,,,,
target,catboost_quantile_055,kpx_group_2,8784,0.5302823315118397,204,0.023224043715846996,0.09627808422502192,0.09743167261454445,,,,,
