slice_type,actual_bin,count,eligible_count,actual_sum,mean_bias,median_bias,normalized_mean_bias,underprediction_rate,overprediction_rate,mean_abs_error,normalized_abs_error,ficr_fail_rate,near_boundary_fail_rate,large_fail_rate,impact_proxy,target,month,hour
target+actual_bin,10-30%,1554,1554,6282448.682,962.611207372493,238.42512643192367,0.04456533367465246,0.46074646074646075,0.5392535392535392,2428.803975728006,0.11244462850592622,0.5218790218790219,0.09716859716859717,0.15572715572715573,174.73895269820935,kpx_group_1,,
target+actual_bin,60-80%,1125,1125,17209783.897,-38.094982312674595,566.4400319444794,-0.0017636565885497497,0.4266666666666667,0.5733333333333334,2557.8161961064116,0.11841741648640795,0.5964444444444444,0.08266666666666667,0.152,133.21959354720894,kpx_group_2,,
target+actual_bin,60-80%,1111,1111,16733410.858,-611.6704445987242,-186.35055251580525,-0.02831807613882982,0.5229522952295229,0.47704770477047703,2390.68265824072,0.11067975269632961,0.5445544554455446,0.10171017101710171,0.1395139513951395,122.9652052456222,kpx_group_1,,
target+actual_bin,60-80%,899,899,13261414.098,-1256.9631540121004,-738.6954558993075,-0.05985538828629049,0.6117908787541713,0.3882091212458287,2457.3504183360105,0.11701668658742907,0.5239154616240267,0.067853170189099,0.17797552836484984,105.19800124209874,kpx_group_3,,
target+actual_bin,90-100%,438,438,8813067.407,-4575.509348570941,-4186.2287956263135,-0.2178813975509972,1.0,0.0,4575.509348570941,0.2178813975509972,0.9748858447488584,0.03424657534246575,0.4977168949771689,95.43205212733677,kpx_group_3,,
target+actual_bin,80-90%,598,598,10940583.478,-776.9922966950596,-258.53735861873065,-0.03597186558773424,0.5535117056856187,0.44648829431438125,1707.5282332075813,0.07905223301886949,0.31438127090301005,0.07859531772575251,0.07525083612040134,47.27323534528396,kpx_group_2,,
target+actual_bin,80-90%,448,448,8234381.995,-1870.3521542097249,-1407.2616689403676,-0.08659037750970948,0.7857142857142857,0.21428571428571427,2245.9039574857898,0.10397703506878656,0.45089285714285715,0.08928571428571429,0.140625,46.58171171081638,kpx_group_1,,
target+actual_bin,80-90%,274,274,4900407.162,-3301.636095988149,-3204.1778774191216,-0.15722076647562616,0.9233576642335767,0.07664233576642336,3414.3617976867617,0.16258865703270295,0.7627737226277372,0.06934306569343066,0.291970802919708,44.54929202696061,kpx_group_3,,
target+actual_bin,90-100%,392,392,7995551.875,-1817.775472790611,-1566.0782592972773,-0.08415627188845422,0.8392857142857143,0.16071428571428573,2017.5945940421993,0.09340715713158332,0.45153061224489793,0.08163265306122448,0.10459183673469388,36.61560559558066,kpx_group_1,,
target+actual_bin,90-100%,355,355,7187205.991,-1366.755383433635,-921.7483170120358,-0.06327571219600162,0.7830985915492957,0.21690140845070421,1593.6542790494439,0.07378029069673352,0.3183098591549296,0.07605633802816901,0.061971830985915494,26.192003197340398,kpx_group_2,,
target+actual_bin,<1%,2511,0,70536.738,720.633358651358,235.8811077660174,0.03431587422149324,0.056152927120669056,0.9223416965352449,726.9306410221311,0.03461574481057767,0.0,0.0,0.0,0.0,kpx_group_3,,
target+actual_bin,<1%,2078,0,61048.916,1478.33011246929,540.0963910943017,0.06844120891061528,0.026467757459095284,0.9590952839268527,1481.1495477202309,0.06857173832038106,0.0,0.0,0.0,0.0,kpx_group_1,,
target+actual_bin,<1%,2051,0,62871.262,1075.8531196740548,463.9404593549673,0.049808014799724756,0.03315455875182838,0.9439297903461726,1078.7912740689835,0.04994404046615664,0.0,0.0,0.0,0.0,kpx_group_2,,
target+actual_bin,1-5%,1056,0,623405.502,1096.8070749705782,421.0957519331664,0.050778105322711965,0.30492424242424243,0.6950757575757576,1279.644348828302,0.059242793927236206,0.0,0.0,0.0,0.0,kpx_group_2,,
target+actual_bin,1-5%,1032,0,605167.447,901.1225360625513,375.4866150389052,0.041718635928821815,0.2916666666666667,0.7083333333333334,1070.579918837439,0.049563885131362916,0.0,0.0,0.0,0.0,kpx_group_1,,
target+actual_bin,1-5%,1020,0,575734.934,957.8623020045769,252.76529857530642,0.04561249057164652,0.37254901960784315,0.6274509803921569,1192.3068924015706,0.056776518685789076,0.0,0.0,0.0,0.0,kpx_group_3,,
target+actual_bin,5-10%,695,0,1098780.559,1161.5869720043092,339.0870764650865,0.05377717462982913,0.42158273381294964,0.5784172661870504,1774.722355147995,0.08216307199759236,0.0,0.0,0.0,0.0,kpx_group_2,,
target+actual_bin,5-10%,681,0,1051298.019,896.2118988896231,296.49107424355657,0.04267675708998205,0.40969162995594716,0.5903083700440529,1536.0145622900707,0.07314355058524147,0.0,0.0,0.0,0.0,kpx_group_3,,
target+actual_bin,5-10%,679,0,1068480.255,1102.1502378431433,311.1784159619642,0.0510254739742196,0.4005891016200295,0.5994108983799705,1654.2513659410374,0.07658571138615915,0.0,0.0,0.0,0.0,kpx_group_1,,
target+actual_bin,,6,0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,,kpx_group_1,,
target+actual_bin,,6,0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,,kpx_group_2,,
target+actual_bin,,6,0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,,kpx_group_3,,
month+actual_bin,30-60%,533,533,5408526.818,2029.6479887931268,2362.193625371886,0.09575586371724489,0.2701688555347092,0.7298311444652908,3288.710425545626,0.15473390276455146,0.7373358348968105,0.09193245778611632,0.2964352720450281,82.47317017350592,,12.0,
month+actual_bin,30-60%,527,527,5013899.559,1039.19327008746,1335.1023072658827,0.04837889477849409,0.3757115749525617,0.6242884250474383,3317.758423496737,0.15462253916305305,0.6850094876660342,0.06641366223908918,0.33586337760910817,81.48607813892896,,3.0,
month+actual_bin,10-30%,360,360,1436206.036,4011.704430837913,2752.9994555657004,0.1868558853313784,0.20833333333333334,0.7916666666666666,4511.489587410296,0.21031178578009097,0.6666666666666666,0.07222222222222222,0.37777777777777777,75.71224288083275,,1.0,
