experiment,slice_type,target,nmae,ficr,eligible_hours,month,score,one_minus_nmae,avg_nmae
lead_bias_correction_shrink_0.35,month,,,0.3172704988382879,895,10.0,0.5952115604801416,0.8731526221219953,0.12684737787800474
lead_bias_correction_shrink_0.35,month,,,0.3241969254667875,963,11.0,0.5950500609824912,0.8659031964981949,0.13409680350180506
lead_bias_correction_shrink_0.35,month,,,0.39800534608456434,2038,12.0,0.6395964767015194,0.8811876073184745,0.1188123926815255
lead_bias_correction_shrink_0.50,group,kpx_group_1,0.1173302866308157,0.39299811860979744,4989,,,,
lead_bias_correction_shrink_0.50,group,kpx_group_2,0.12438315568887819,0.4212950717995066,4976,,,,
lead_bias_correction_shrink_0.50,group,kpx_group_3,0.14593831567756324,0.2633704983189503,4566,,,,
lead_bias_correction_shrink_0.50,month,,,0.3666990393998661,1492,1.0,0.609713188843415,0.8527273382869638,0.14727266171303624
lead_bias_correction_shrink_0.50,month,,,0.3434082334264541,772,2.0,0.6011951074448737,0.8589819814632933,0.14101801853670667
lead_bias_correction_shrink_0.50,month,,,0.37507472554941695,1587,3.0,0.6195800387002554,0.8640853518510937,0.13591464814890628
lead_bias_correction_shrink_0.50,month,,,0.33803613300557006,1166,4.0,0.6103603141660515,0.8826844953265329,0.11731550467346706
lead_bias_correction_shrink_0.50,month,,,0.3743784868967608,1545,5.0,0.624446750063721,0.8745150132306813,0.12548498676931877
lead_bias_correction_shrink_0.50,month,,,0.3357079243421304,970,6.0,0.6057205147587541,0.8757331051753777,0.12426689482462228
lead_bias_correction_shrink_0.50,month,,,0.35475466586082605,1577,7.0,0.6087905197142274,0.8628263735676287,0.13717362643237127
lead_bias_correction_shrink_0.50,month,,,0.3506191027322185,689,8.0,0.608886671078706,0.8671542394251935,0.1328457605748065
lead_bias_correction_shrink_0.50,month,,,0.3564135894389359,837,9.0,0.624066231821073,0.8917188742032102,0.10828112579678979
lead_bias_correction_shrink_0.50,month,,,0.3175480754086492,895,10.0,0.595609494539278,0.8736709136699068,0.1263290863300932
lead_bias_correction_shrink_0.50,month,,,0.32548600584864845,963,11.0,0.5958089602565845,0.8661319146645204,0.1338680853354796
lead_bias_correction_shrink_0.50,month,,,0.3996792603889796,2038,12.0,0.6404449489091726,0.8812106374293656,0.1187893625706344
lead_bias_correction_shrink_0.75,group,kpx_group_1,0.11648104505085034,0.40129050386252796,4989,,,,
lead_bias_correction_shrink_0.75,group,kpx_group_2,0.12456160217714453,0.42003874957147896,4976,,,,
lead_bias_correction_shrink_0.75,group,kpx_group_3,0.14593831567756324,0.2633704983189503,4566,,,,
lead_bias_correction_shrink_0.75,month,,,0.36593089253923433,1492,1.0,0.6093915800397579,0.8528522675402815,0.14714773245971843
lead_bias_correction_shrink_0.75,month,,,0.343687386933283,772,2.0,0.6013810542125654,0.8590747214918478,0.14092527850815215
