experiment,month,lead_hour,rows,baseline_abs_error,candidate_abs_error,delta_abs_error,impact_delta,fail_to_pass8,pass_to_fail8,net_pass8,seed
issue_cycle,12,15.0,89,0.11572817859492568,0.11831098839644492,0.0025828098015192452,0.22987007233521284,9,6,3,77
issue_cycle,12,16.0,89,0.1268072200808433,0.12835426452728116,0.0015470444464378448,0.13768695573296819,9,8,1,77
issue_cycle,12,17.0,92,0.10973735066624338,0.11168247855740888,0.0019451278911655195,0.17895176598722778,6,7,-1,77
issue_cycle,12,18.0,89,0.11321434065975898,0.11323924517424871,2.4904514489726166e-05,0.0022165017895856287,7,3,4,77
issue_cycle,12,19.0,89,0.106709519298676,0.10645898247265217,-0.0002505368260238353,-0.022297777516121345,7,5,2,77
issue_cycle,12,20.0,84,0.11800005803535378,0.11765979683473116,-0.000340261200622613,-0.02858194085229949,7,5,2,77
issue_cycle,12,21.0,84,0.12988755191901916,0.12912466194217706,-0.0007628899768420934,-0.06408275805473584,6,5,1,77
issue_cycle,12,22.0,84,0.11472237936993405,0.1138142747482033,-0.0009081046217307646,-0.07628078822538423,6,5,1,77
issue_cycle,12,23.0,80,0.1080681876539831,0.1073604126263975,-0.0007077750275855893,-0.05662200220684715,4,8,-4,77
issue_cycle,12,24.0,72,0.11917129015706382,0.12460383603055296,0.005432545873489151,0.3911433028912189,6,6,0,77
issue_cycle,12,25.0,77,0.12436385443103679,0.1278128060480953,0.003448951617058505,0.26556927451350487,4,3,1,77
issue_cycle,12,26.0,80,0.1291434056008487,0.1306739531606065,0.0015305475597578225,0.1224438047806258,4,9,-5,77
issue_cycle,12,27.0,80,0.12903433939261708,0.1349871239980856,0.005952784605468497,0.4762227684374798,1,8,-7,77
issue_cycle,12,28.0,79,0.1274617412804335,0.12887446392419818,0.0014127226437646897,0.1116050888574105,3,2,1,77
issue_cycle,12,29.0,83,0.10142246718581578,0.0999679591659761,-0.0014545080198396791,-0.12072416564669336,3,5,-2,77
issue_cycle,12,30.0,85,0.09309410268775378,0.09007166468379772,-0.0030224380039560674,-0.2569072303362657,7,4,3,77
issue_cycle,12,31.0,83,0.11918118408842145,0.1145639127642362,-0.004617271324185252,-0.3832335199073759,2,1,1,77
issue_cycle,12,32.0,86,0.10875233406889391,0.11599572827279628,0.007243394203902374,0.6229319015356042,5,8,-3,77
issue_cycle,12,33.0,87,0.12272698544169912,0.12015159050894779,-0.0025753949327513266,-0.22405935914936542,8,4,4,77
issue_cycle,12,34.0,88,0.14542461787568842,0.14023474291505236,-0.005189874960636066,-0.4567089965359738,6,4,2,77
issue_cycle,12,35.0,88,0.13387743253849127,0.1343469801427798,0.00046954760428853724,0.041320189177391276,5,5,0,77
forecast_safe_ramp,1,12.0,60,0.17280005245571858,0.17056474285016462,-0.002235309605553984,-0.13411857633323904,4,0,4,77
forecast_safe_ramp,1,13.0,60,0.15948689215424525,0.16775047653907466,0.00826358438482941,0.49581506308976464,1,2,-1,77
forecast_safe_ramp,1,14.0,57,0.12696447773726519,0.13098245942144587,0.004017981684180711,0.22902495599830053,3,3,0,77
forecast_safe_ramp,1,15.0,63,0.13888903644492107,0.146321930916275,0.007432894471353931,0.4682723516952977,2,7,-5,77
forecast_safe_ramp,1,16.0,60,0.12082814468663998,0.12334442247215419,0.002516277785514187,0.15097666713085123,2,3,-1,77
forecast_safe_ramp,1,17.0,61,0.13838560824752758,0.13748269376654923,-0.0009029144809783356,-0.05507778333967847,3,2,1,77
forecast_safe_ramp,1,18.0,61,0.1535854069329956,0.15732069992290756,0.0037352929899119387,0.22785287238462826,5,1,4,77
forecast_safe_ramp,1,19.0,60,0.15116363517442633,0.15573682081611953,0.004573185641693202,0.2743911385015921,1,3,-2,77
forecast_safe_ramp,1,20.0,63,0.15818893338534704,0.15860118342145244,0.00041225003610538443,0.02597175227463922,4,2,2,77
forecast_safe_ramp,1,21.0,65,0.15001400110686677,0.15741999814874832,0.00740599704188154,0.4813898077223001,0,6,-6,77
forecast_safe_ramp,1,22.0,63,0.1257051272484247,0.13360353061749924,0.007898403369074566,0.4975994122516976,3,7,-4,77
forecast_safe_ramp,1,23.0,60,0.11175006574981575,0.11930788386947506,0.007557818119659337,0.45346908717956025,3,5,-2,77
forecast_safe_ramp,1,24.0,56,0.1113486342290396,0.11710512900798072,0.005756494778941114,0.3223637076207024,2,5,-3,77
forecast_safe_ramp,1,25.0,53,0.11541778998976418,0.12258360888880765,0.0071658188990434725,0.37978840164930405,4,2,2,77
forecast_safe_ramp,1,26.0,55,0.10879856571397385,0.11291764689347471,0.0041190811795008605,0.22654946487254732,2,1,1,77
forecast_safe_ramp,1,27.0,54,0.11524305361072898,0.12120721713759709,0.005964163526868103,0.3220648304508775,3,4,-1,77
forecast_safe_ramp,1,28.0,57,0.14489247191450952,0.14401195780234935,-0.000880514112160194,-0.05018930439313106,6,2,4,77
forecast_safe_ramp,1,29.0,61,0.13804960259936466,0.14163945780419662,0.00358985520483198,0.21898116749475077,2,4,-2,77
forecast_safe_ramp,1,30.0,64,0.16179965127290932,0.16178984770462146,-9.803568287888279e-06,-0.0006274283704248498,2,3,-1,77
forecast_safe_ramp,1,31.0,72,0.1801064977323067,0.1769480435853147,-0.0031584541469919787,-0.22740869858342247,1,1,0,77
