experiment,target,label_regime,rows,baseline_abs_error,candidate_abs_error,delta_abs_error,impact_delta,fail_to_pass8,pass_to_fail8,net_pass8,seed
source_disagreement,kpx_group_2,ficr_boundary_8_12pct,224,0.10454339020025151,0.10415570574907075,-0.00038768445118075385,-0.08684131706448886,12,11,1,11
source_disagreement,kpx_group_2,high_50_80pct,1584,0.12924049754967515,0.13147353384791483,0.0022330362982396702,3.5371294964116378,73,76,-3,11
source_disagreement,kpx_group_2,mid_12_50pct,2215,0.1311841904209813,0.1311770104857717,-7.17993520962146e-06,-0.015903556489311535,100,125,-25,11
source_disagreement,kpx_group_2,very_high_80pct_plus,953,0.09834163850524272,0.0989894480505752,0.0006478095453324858,0.6173624967018589,37,38,-1,11
source_disagreement,kpx_group_3,ficr_boundary_8_12pct,212,0.07994228263478437,0.0814304021636693,0.0014881195288849432,0.31548134012360796,12,6,6,11
source_disagreement,kpx_group_3,high_50_80pct,1353,0.1418468411483141,0.14062556952540659,-0.0012212716229075288,-1.6523805057938865,74,71,3,11
source_disagreement,kpx_group_3,mid_12_50pct,2289,0.11925429150115355,0.11945127575580677,0.00019698425465324845,0.4508969589012857,109,117,-8,11
source_disagreement,kpx_group_3,very_high_80pct_plus,712,0.2590109792308394,0.2563698103915949,-0.0026411688392444714,-1.8805122135420638,5,7,-2,11
all_forecast_time_features,kpx_group_1,ficr_boundary_8_12pct,219,0.07149845802867226,0.07361742323094182,0.002118965202269551,0.4640533792970316,16,17,-1,11
all_forecast_time_features,kpx_group_1,high_50_80pct,1611,0.1305083089684209,0.1314160061717806,0.0009076972033597005,1.4623001946124774,121,129,-8,11
all_forecast_time_features,kpx_group_1,mid_12_50pct,2319,0.1143052427223156,0.11774536628407037,0.003440123561754765,7.9776465397092995,152,196,-44,11
all_forecast_time_features,kpx_group_1,very_high_80pct_plus,840,0.133438353332074,0.13801091105794075,0.0045725577258667605,3.840948489728079,40,65,-25,11
all_forecast_time_features,kpx_group_2,ficr_boundary_8_12pct,224,0.10454339020025151,0.10239642025298411,-0.0021469699472674015,-0.480921268187898,19,23,-4,11
all_forecast_time_features,kpx_group_2,high_50_80pct,1584,0.12924049754967515,0.13099678770172302,0.001756290152047876,2.7819636008438358,94,107,-13,11
all_forecast_time_features,kpx_group_2,mid_12_50pct,2215,0.1311841904209813,0.13337918126567577,0.0021949908446944394,4.861904720998183,182,212,-30,11
all_forecast_time_features,kpx_group_2,very_high_80pct_plus,953,0.09834163850524272,0.10059271183244198,0.0022510733271992635,2.1452728808208983,31,65,-34,11
all_forecast_time_features,kpx_group_3,ficr_boundary_8_12pct,212,0.07994228263478437,0.08052913174473225,0.000586849109947888,0.12441201130895226,17,12,5,11
all_forecast_time_features,kpx_group_3,high_50_80pct,1353,0.1418468411483141,0.1411098757416807,-0.0007369654066334071,-0.9971141951749998,109,115,-6,11
