target,lead_hour,rows,candidate_abs_error,baseline_abs_error,delta_abs_error,mean_abs_source_disagreement
kpx_group_2,23.0,366,0.07371910924729676,0.07399261558734507,-0.00027350634004831076,2.5666322075393238
kpx_group_2,24.0,366,0.07578041496168111,0.07698560528167249,-0.0012051903199913675,2.6933838412359203
kpx_group_2,25.0,366,0.08012267817078504,0.08052192421373822,-0.0003992460429531769,2.8090397700822627
kpx_group_2,26.0,366,0.07798479645345957,0.07846952601628569,-0.00048472956282611654,2.792468600297367
kpx_group_2,27.0,366,0.08185638204240119,0.08142612030376233,0.00043026173863885866,2.6675706245018977
kpx_group_2,28.0,366,0.09165120808855276,0.09162297874404156,2.8229344511203182e-05,2.4634744236066735
kpx_group_2,29.0,366,0.09786929026556003,0.09769793884199149,0.0001713514235685336,2.406175789388311
kpx_group_2,30.0,366,0.0998121381786605,0.09807585625222161,0.00173628192643887,2.536681033505942
kpx_group_2,31.0,366,0.1040267697218765,0.1023597598047132,0.0016670099171632972,2.7128062255964593
kpx_group_2,32.0,366,0.09998102071811486,0.09908514887320696,0.0008958718449078869,2.7895665162348133
kpx_group_2,33.0,366,0.11297179684389128,0.11289242783534398,7.936900854730482e-05,2.805415823018424
kpx_group_2,34.0,366,0.11338226254912621,0.11331011567969451,7.214686943170909e-05,2.765363757078025
kpx_group_2,35.0,366,0.11499324315673662,0.11445087530170031,0.0005423678550362915,2.8416153180943162
kpx_group_3,12.0,366,0.10430002302984952,0.10515064820330199,-0.0008506251734524897,2.8731704786963985
kpx_group_3,13.0,366,0.10752683001815613,0.10833414958393577,-0.0008073195657796234,2.8608405453925796
kpx_group_3,14.0,366,0.10655080112529058,0.10653641483257377,1.4386292716835492e-05,2.8452552777397537
kpx_group_3,15.0,366,0.10608613183292731,0.10650063642881236,-0.0004145045958850418,2.86891824496695
kpx_group_3,16.0,366,0.1037054981568223,0.10416635828848789,-0.0004608601316655787,2.8014788190198523
kpx_group_3,17.0,366,0.10327347602124927,0.10263318434611668,0.000640291675132586,2.690486629499881
kpx_group_3,18.0,366,0.10222468013974667,0.10268163201473851,-0.00045695187499185115,2.601633381428488
kpx_group_3,19.0,366,0.09354322455634681,0.09262614643712522,0.0009170781192215842,2.573992253392947
kpx_group_3,20.0,366,0.08289306161471446,0.08262887052093179,0.0002641910937826717,2.4924080835723728
kpx_group_3,21.0,366,0.08007174010787073,0.07972361726050198,0.00034812284736876194,2.413095496092562
kpx_group_3,22.0,366,0.07927204535122097,0.07847419204822922,0.0007978533029917425,2.4378530289109226
kpx_group_3,23.0,366,0.0726927831678657,0.07244924485713748,0.0002435383107282166,2.6033316644855287
kpx_group_3,24.0,366,0.07482191507123384,0.07474553736428118,7.637770695266757e-05,2.6706078751527413
