experiment,target,month,rows,baseline_abs_error,candidate_abs_error,delta_abs_error,impact_delta
B1_plus_all_score_insights,kpx_group_1,10,339,0.10969133856741857,0.11276299543108949,0.0030716568636709085,1.041291676784438
B1_plus_all_score_insights,kpx_group_1,11,342,0.10633723960334455,0.10601843171354897,-0.0003188078897955912,-0.1090322983100922
B1_plus_all_score_insights,kpx_group_1,12,690,0.11861854689511087,0.12058098082074105,0.0019624339256301766,1.3540794086848218
B1_plus_all_score_insights,kpx_group_2,1,504,0.15681015872627854,0.1579225052508141,0.0011123465245355443,0.5606226483659144
B1_plus_all_score_insights,kpx_group_2,2,262,0.14300883231845163,0.13252092064891197,-0.010487911669539664,-2.747832857419392
B1_plus_all_score_insights,kpx_group_2,3,535,0.13103647770077148,0.13203806994585568,0.0010015922450841929,0.5358518511200432
B1_plus_all_score_insights,kpx_group_2,4,407,0.10932508955876906,0.1123902250257956,0.0030651354670265347,1.2475101350797997
B1_plus_all_score_insights,kpx_group_2,5,526,0.10904511060461122,0.11193100146212047,0.002885890857509241,1.5179785910498609
B1_plus_all_score_insights,kpx_group_2,6,345,0.12381715283667759,0.1252432892647037,0.0014261364280261175,0.49201706766901054
B1_plus_all_score_insights,kpx_group_2,7,526,0.11504573911399274,0.11433888191527439,-0.0007068571987183435,-0.3718068865258487
B1_plus_all_score_insights,kpx_group_2,8,239,0.12955542190039568,0.13143065735149623,0.0018752354511005697,0.44818127281303616
B1_plus_all_score_insights,kpx_group_2,9,303,0.10757661770020407,0.11070328793252789,0.0031266702323238223,0.9473810803941182
B1_plus_all_score_insights,kpx_group_2,10,315,0.1230562156379109,0.12055464097262204,-0.0025015746652888434,-0.7879960195659856
B1_plus_all_score_insights,kpx_group_2,11,328,0.12101595002097168,0.12389196089081367,0.0028760108698419776,0.9433315653081686
B1_plus_all_score_insights,kpx_group_2,12,686,0.12188079127802641,0.12213914106954411,0.0002583497915177104,0.17722795698114935
B1_plus_all_score_insights,kpx_group_3,1,519,0.15846625679847332,0.1549648188925873,-0.0035014379058859748,-1.817246273154821
B1_plus_all_score_insights,kpx_group_3,2,256,0.1644537861655821,0.1577969504749482,-0.006656835690633904,-1.7041499368022794
B1_plus_all_score_insights,kpx_group_3,3,496,0.15913679649356616,0.16283240018779316,0.0036956036942270183,1.8330194323366011
B1_plus_all_score_insights,kpx_group_3,4,356,0.1316585654718731,0.13655256887366793,0.00489400340179485,1.7422652110389667
B1_plus_all_score_insights,kpx_group_3,5,485,0.14659936810110338,0.14468756408281827,-0.0019118040182851364,-0.9272249488682912
B1_plus_all_score_insights,kpx_group_3,6,295,0.12897781097620384,0.12579818943172139,-0.0031796215444824484,-0.9379883556223223
B1_plus_all_score_insights,kpx_group_3,7,515,0.16645324870949613,0.16355387751812203,-0.0028993711913741075,-1.4931761635576655
B1_plus_all_score_insights,kpx_group_3,8,199,0.1451428789399892,0.1422486030249494,-0.002894275915039799,-0.57596090709292
B1_plus_all_score_insights,kpx_group_3,9,249,0.10791666199416533,0.11538855032052464,0.007471888326359317,1.86050019326347
B1_plus_all_score_insights,kpx_group_3,10,241,0.15173077338595123,0.14936218229648335,-0.002368591089467899,-0.5708304525617637
B1_plus_all_score_insights,kpx_group_3,11,293,0.17694012022661224,0.1773279415944649,0.0003878213678526562,0.11363166078082827
B1_plus_all_score_insights,kpx_group_3,12,662,0.11657110010232494,0.11870938075644033,0.0021382806541154088,1.4155417930244005
B1_all_plus_2025_exposure_weight,kpx_group_1,1,469,0.12799004078175533,0.12856764863882908,0.0005776078570737535,0.2708980849675904
B1_all_plus_2025_exposure_weight,kpx_group_1,2,254,0.11701019982613568,0.11986629452740404,0.002856094701268336,0.7254480541221573
B1_all_plus_2025_exposure_weight,kpx_group_1,3,556,0.12025669801440428,0.12266896551165708,0.0024122674972528305,1.341220728472574
B1_all_plus_2025_exposure_weight,kpx_group_1,4,403,0.11356876293832201,0.11498949391075118,0.0014207309724291865,0.5725545818889621
B1_all_plus_2025_exposure_weight,kpx_group_1,5,534,0.12507623583328717,0.12614538726881516,0.0010691514355279565,0.5709268665719288
B1_all_plus_2025_exposure_weight,kpx_group_1,6,330,0.11990466460980628,0.12188675192696898,0.001982087317162697,0.6540888146636901
B1_all_plus_2025_exposure_weight,kpx_group_1,7,536,0.1307989438821994,0.1300786340363928,-0.0007203098458065785,-0.38608607735232603
B1_all_plus_2025_exposure_weight,kpx_group_1,8,251,0.12703716547076366,0.12632574411868924,-0.0007114213520744225,-0.17856675937068006
B1_all_plus_2025_exposure_weight,kpx_group_1,9,285,0.11275375247634964,0.1184692447405997,0.005715492264250047,1.6289152953112633
B1_all_plus_2025_exposure_weight,kpx_group_1,10,339,0.10969133856741857,0.11054202317560934,0.0008506846081907457,0.2883820821766628
B1_all_plus_2025_exposure_weight,kpx_group_1,11,342,0.10633723960334455,0.109930398202186,0.0035931585988414434,1.2288602408037737
B1_all_plus_2025_exposure_weight,kpx_group_1,12,690,0.11861854689511087,0.12033906544112222,0.0017205185460113651,1.187157796747842
B1_all_plus_2025_exposure_weight,kpx_group_2,1,504,0.15681015872627854,0.15832474701824567,0.0015145882919671133,0.7633524991514251
B1_all_plus_2025_exposure_weight,kpx_group_2,2,262,0.14300883231845163,0.139278743439684,-0.003730088878767655,-0.9772832862371256
B1_all_plus_2025_exposure_weight,kpx_group_2,3,535,0.13103647770077148,0.13164422493156752,0.0006077472307960519,0.3251447684758878
B1_all_plus_2025_exposure_weight,kpx_group_2,4,407,0.10932508955876906,0.10993432871107252,0.0006092391523034418,0.2479603349875008
B1_all_plus_2025_exposure_weight,kpx_group_2,5,526,0.10904511060461122,0.10955062917139287,0.0005055185667816646,0.2659027661271556
B1_all_plus_2025_exposure_weight,kpx_group_2,6,345,0.12381715283667759,0.12310380457679697,-0.0007133482598806161,-0.24610514965881256
B1_all_plus_2025_exposure_weight,kpx_group_2,7,526,0.11504573911399274,0.11456452461691474,-0.00048121449707798754,-0.25311882546302145
B1_all_plus_2025_exposure_weight,kpx_group_2,8,239,0.12955542190039568,0.13300138184977112,0.0034459599493754526,0.8235844279007332
B1_all_plus_2025_exposure_weight,kpx_group_2,9,303,0.10757661770020407,0.1101035074196575,0.0025268897194534166,0.7656475849943852
B1_all_plus_2025_exposure_weight,kpx_group_2,10,315,0.1230562156379109,0.1192284011742481,-0.0038278144636628097,-1.205761556053785
B1_all_plus_2025_exposure_weight,kpx_group_2,11,328,0.12101595002097168,0.12318223725436778,0.002166287233396068,0.7105422125539103
B1_all_plus_2025_exposure_weight,kpx_group_2,12,686,0.12188079127802641,0.11962496299952607,-0.0022558282785003444,-1.5474981990512362
B1_all_plus_2025_exposure_weight,kpx_group_3,1,519,0.15846625679847332,0.1608229081245139,0.0023566513260406268,1.2231020382150852
B1_all_plus_2025_exposure_weight,kpx_group_3,2,256,0.1644537861655821,0.16332370898414572,-0.0011300771814363871,-0.2892997584477151
B1_all_plus_2025_exposure_weight,kpx_group_3,3,496,0.15913679649356616,0.16516962425122175,0.006032827757655583,2.992282567797169
B1_all_plus_2025_exposure_weight,kpx_group_3,4,356,0.1316585654718731,0.1359077363188096,0.004249170846936488,1.5127048215093897
B1_all_plus_2025_exposure_weight,kpx_group_3,5,485,0.14659936810110338,0.1443021209987522,-0.00229724710235118,-1.1141648446403223
B1_all_plus_2025_exposure_weight,kpx_group_3,6,295,0.12897781097620384,0.12827120477963996,-0.0007066061965638732,-0.2084488279863426
B1_all_plus_2025_exposure_weight,kpx_group_3,7,515,0.16645324870949613,0.17440512546827608,0.007951876758779973,4.095216530771686
B1_all_plus_2025_exposure_weight,kpx_group_3,8,199,0.1451428789399892,0.14809774959076133,0.0029548706507721333,0.5880192595036545
B1_all_plus_2025_exposure_weight,kpx_group_3,9,249,0.10791666199416533,0.11497088795114294,0.007054225956977606,1.7565022632874239
B1_all_plus_2025_exposure_weight,kpx_group_3,10,241,0.15173077338595123,0.15073975507339124,-0.0009910183125599909,-0.2388354133269578
B1_all_plus_2025_exposure_weight,kpx_group_3,11,293,0.17694012022661224,0.17723247145658344,0.0002923512299711771,0.08565891038155488
B1_all_plus_2025_exposure_weight,kpx_group_3,12,662,0.11657110010232494,0.11916609555981318,0.0025949954574882813,1.7178869928572422
