experiment_id,score,one_minus_nmae,avg_nmae,ficr,worst_month_score,high_generation_score,delta_score,delta_one_minus_nmae,delta_avg_nmae,delta_ficr,delta_worst_month_score,delta_high_generation_score,method,alpha_kpx_group_1,alpha_kpx_group_2,alpha_kpx_group_3,verdict,reason,lambda
A2_group_1.025_1.025_1.015,0.6196855333275854,0.8708920861609266,0.12910791383907336,0.3684789804942441,0.602104992392813,0.6126839033180186,0.007918176854858738,0.0008634090320372989,-0.0008634090320373267,0.014972944677680289,0.01039007256715685,0.012486917783059992,A2_group,1.025,1.025,1.015,Strong accept,passes strong score/FiCR/nMAE/worst-month criteria,
A2_group_1.025_1.030_1.010,0.6196682408412936,0.8707071978349007,0.12929280216509934,0.3686292838476865,0.6011858388301431,0.6127776328075257,0.007900884368566952,0.0006785207060113763,-0.0006785207060113485,0.015123248031122694,0.009470919004486933,0.012580647272567136,A2_group,1.025,1.03,1.01,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.020_1.000,0.6196597885562412,0.8706661377991478,0.12933386220085216,0.36865343931333455,0.6006537053747988,0.6123854808333136,0.007892432083514533,0.000637460670258494,-0.0006374606702585217,0.01514740349677074,0.008938785549142625,0.012188495298354973,A2_group,1.03,1.02,1.0,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.030_0.995,0.6196516621600308,0.8704028165300264,0.1295971834699736,0.36890050779003514,0.6003870946189854,0.6123711051284243,0.007884305687304138,0.00037413940113706357,-0.0003741394011370913,0.015394471973471324,0.008672174793329268,0.012174119593465704,A2_group,1.03,1.03,0.995,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.005_1.030,0.6196496455851966,0.8713947976231657,0.12860520237683426,0.3679044935472275,0.6023777261295713,0.6128735508198765,0.00788228911247002,0.0013661204942764238,-0.0013661204942764238,0.014398457730663672,0.01066280630391514,0.012676565284917896,A2_group,1.03,1.005,1.03,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.020_1.030_1.030,0.6196351607858119,0.8710297982830693,0.1289702017169308,0.36824052328855456,0.6022414526179802,0.613403828710801,0.007867804313085314,0.0010011211541799403,-0.0010011211541798848,0.014734487471990743,0.010526532792324073,0.01320684317584242,A2_group,1.02,1.03,1.03,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.025_1.000,0.6196329502564167,0.8706092934574383,0.12939070654256174,0.3686566070553951,0.6003948609650449,0.6123884374373839,0.007865593783690117,0.0005806163285489996,-0.0005806163285489441,0.01515057123883129,0.008679941139388747,0.012191451902425321,A2_group,1.03,1.025,1.0,Reject,does not pass Phase 1 acceptance criteria,
A3_shrink_0.25,0.6145427570296882,0.8704553768933379,0.12954462310666215,0.3586301371660385,0.5946423299112705,0.6045890336238724,0.0027754005569615714,0.00042669976444853486,-0.00042669976444853486,0.0051241013494746634,0.002927410085614368,0.0043920480889138025,A3_shrink,1.0075,1.0075,1.0075,Strong accept,passes strong score/FiCR/nMAE/worst-month criteria,0.25
A3_shrink_0.50,0.6175211874136612,0.8707902048842239,0.1292097951157761,0.36425216994309856,0.6008920172534584,0.6090785089981837,0.005753830940934623,0.0007615277553345567,-0.0007615277553345845,0.010746134126534745,0.009177097427802261,0.008881523463225127,A3_shrink,1.0150000000000001,1.0150000000000001,1.0150000000000001,Strong accept,passes strong score/FiCR/nMAE/worst-month criteria,0.5
A3_shrink_0.75,0.619970835376066,0.8710362173110797,0.1289637826889203,0.36890545344105236,0.602730190589186,0.613172434134547,0.00820347890333939,0.0010075401821904029,-0.0010075401821903751,0.015399417624488543,0.011015270763529816,0.012975448599588435,A3_shrink,1.0225,1.0225,1.0225,Strong accept,passes strong score/FiCR/nMAE/worst-month criteria,0.75
A3_shrink_1.00,0.6213552467009833,0.8712021483970117,0.12879785160298826,0.37150834500495483,0.6026838369238885,0.6159288142378625,0.00958789022825668,0.0011734712681223947,-0.0011734712681224224,0.01800230918839102,0.010968917098232334,0.015731828702903905,A3_shrink,1.03,1.03,1.03,Reject,does not pass Phase 1 acceptance criteria,1.0
