experiment_id,target,nmae,ficr,eligible_hours
A2_group_1.030_1.030_1.010,kpx_group_3,0.14519359850005406,0.26601861174111757,4566
A2_group_1.025_1.030_1.025,kpx_group_1,0.11809781388143423,0.4044944979624114,4989
A2_group_1.025_1.030_1.025,kpx_group_2,0.12458699411380977,0.43537474183953045,4976
A2_group_1.025_1.030_1.025,kpx_group_3,0.14422980367376606,0.26944156826411997,4566
A2_group_1.025_1.020_1.030,kpx_group_1,0.11809781388143423,0.4044944979624114,4989
A2_group_1.025_1.020_1.030,kpx_group_2,0.12420404534771805,0.4337214482390474,4976
A2_group_1.025_1.020_1.030,kpx_group_3,0.14394733511787977,0.27028192179332794,4566
A2_group_1.025_1.025_1.030,kpx_group_1,0.11809781388143423,0.4044944979624114,4989
A2_group_1.025_1.025_1.030,kpx_group_2,0.12437457837284675,0.4337309514652289,4976
A2_group_1.025_1.025_1.030,kpx_group_3,0.14394733511787977,0.27028192179332794,4566
A2_group_1.030_1.020_1.010,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.020_1.010,kpx_group_2,0.12420404534771805,0.4337214482390474,4976
A2_group_1.030_1.020_1.010,kpx_group_3,0.14519359850005406,0.26601861174111757,4566
A2_group_1.030_1.015_1.020,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.015_1.020,kpx_group_2,0.12408215020034111,0.4315678278799043,4976
A2_group_1.030_1.015_1.020,kpx_group_3,0.14452894051282647,0.2673000322424318,4566
A2_group_1.030_1.025_1.010,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.025_1.010,kpx_group_2,0.12437457837284675,0.4337309514652289,4976
A2_group_1.030_1.025_1.010,kpx_group_3,0.14519359850005406,0.26601861174111757,4566
A2_group_1.025_1.020_1.025,kpx_group_1,0.11809781388143423,0.4044944979624114,4989
A2_group_1.025_1.020_1.025,kpx_group_2,0.12420404534771805,0.4337214482390474,4976
A2_group_1.025_1.020_1.025,kpx_group_3,0.14422980367376606,0.26944156826411997,4566
A1_global_1.0250,kpx_group_1,0.11809781388143423,0.4044944979624114,4989
A1_global_1.0250,kpx_group_2,0.12437457837284675,0.4337309514652289,4976
A1_global_1.0250,kpx_group_3,0.14422980367376606,0.26944156826411997,4566
A2_group_1.025_1.025_1.025,kpx_group_1,0.11809781388143423,0.4044944979624114,4989
A2_group_1.025_1.025_1.025,kpx_group_2,0.12437457837284675,0.4337309514652289,4976
A2_group_1.025_1.025_1.025,kpx_group_3,0.14422980367376606,0.26944156826411997,4566
A2_group_1.030_1.010_1.030,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.010_1.030,kpx_group_2,0.12401304087385069,0.4275528267430876,4976
A2_group_1.030_1.010_1.030,kpx_group_3,0.14394733511787977,0.27028192179332794,4566
A2_group_1.030_1.015_1.015,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.015_1.015,kpx_group_2,0.12408215020034111,0.4315678278799043,4976
A2_group_1.030_1.015_1.015,kpx_group_3,0.14485134926293908,0.2672114920550922,4566
A2_group_1.030_1.030_1.005,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.030_1.005,kpx_group_2,0.12458699411380977,0.43537474183953045,4976
A2_group_1.030_1.030_1.005,kpx_group_3,0.14555594444244627,0.2641086960799954,4566
A2_group_1.025_1.015_1.030,kpx_group_1,0.11809781388143423,0.4044944979624114,4989
A2_group_1.025_1.015_1.030,kpx_group_2,0.12408215020034111,0.4315678278799043,4976
A2_group_1.025_1.015_1.030,kpx_group_3,0.14394733511787977,0.27028192179332794,4566
A2_group_1.025_1.030_1.020,kpx_group_1,0.11809781388143423,0.4044944979624114,4989
A2_group_1.025_1.030_1.020,kpx_group_2,0.12458699411380977,0.43537474183953045,4976
A2_group_1.025_1.030_1.020,kpx_group_3,0.14452894051282647,0.2673000322424318,4566
A1_global_1.0225,kpx_group_1,0.11823193451590858,0.4037586595219619,4989
A1_global_1.0225,kpx_group_2,0.12428214847854044,0.43386111241883546,4976
A1_global_1.0225,kpx_group_3,0.14437726507231188,0.2690965883823598,4566
A2_group_1.030_1.010_1.025,kpx_group_1,0.11785922557727523,0.40886837138200616,4989
A2_group_1.030_1.010_1.025,kpx_group_2,0.12401304087385069,0.4275528267430876,4976
A2_group_1.030_1.010_1.025,kpx_group_3,0.14422980367376606,0.26944156826411997,4566
