target,feature_family,speed_decile,rows,speed_mean,actual_ratio_mean,abs_error_ratio_mean,signed_error_ratio_mean,pass8_rate,pass6_rate
kpx_group_2,soft_upstream,4,497,8.365923262856967,0.5223494128660854,0.12844372833285475,0.04738151834303077,0.44466800804828976,0.3299798792756539
kpx_group_2,soft_upstream,5,498,9.309597700171611,0.5489823104454857,0.14578153620488876,0.05605085591064392,0.35943775100401604,0.26706827309236947
kpx_group_2,soft_upstream,6,497,10.450526284035995,0.6246189417989418,0.1367230428445688,0.03458007754131033,0.3843058350100604,0.2837022132796781
kpx_group_2,soft_upstream,7,498,11.858945996543593,0.6376170178863603,0.148096886220544,0.06563133562524442,0.39959839357429716,0.321285140562249
kpx_group_2,soft_upstream,8,497,13.930033734786203,0.7042018789589389,0.11369209125940417,0.0727558811568788,0.5110663983903421,0.4124748490945674
kpx_group_2,soft_upstream,9,498,17.69943074803892,0.777092211252417,0.09404238367635236,0.05927063866329058,0.6244979919678715,0.5080321285140562
kpx_group_2,static_corr_top,0,498,3.5261967039496787,0.20830588483563883,0.06908981396685425,-0.021642075936235964,0.7469879518072289,0.6987951807228916
kpx_group_2,static_corr_top,1,498,5.959283083211528,0.2734323143499926,0.09456315034483578,-0.02960455945496021,0.5883534136546185,0.4799196787148594
kpx_group_2,static_corr_top,2,497,7.329780684847752,0.330826279715329,0.11366399396883842,-0.009186928149861596,0.46277665995975853,0.36016096579476864
kpx_group_2,static_corr_top,3,498,8.569982352943319,0.4085860922393277,0.13749803039319425,0.00400422463329519,0.37751004016064255,0.29116465863453816
kpx_group_2,static_corr_top,4,497,9.855578196775811,0.4984570180341306,0.15648926125982754,0.04441524605036601,0.3118712273641851,0.23541247484909456
kpx_group_2,static_corr_top,5,498,11.102171532213653,0.5559740191320838,0.1497518324770611,0.06251592385459913,0.3473895582329317,0.2429718875502008
kpx_group_2,static_corr_top,6,497,12.449081623505826,0.6424580759557343,0.1378917428947996,0.06586929591832821,0.40040241448692154,0.2977867203219316
kpx_group_2,static_corr_top,7,498,14.008971371226549,0.6837367547040012,0.12997337453374533,0.07170282735317422,0.4357429718875502,0.3534136546184739
kpx_group_2,static_corr_top,8,497,15.99598421552785,0.7302808847529622,0.125806184408255,0.08606878921121235,0.5110663983903421,0.4164989939637827
kpx_group_2,static_corr_top,9,498,19.73158642587029,0.80119612988993,0.08785667124129491,0.05357884255029939,0.6465863453815262,0.5301204819277109
kpx_group_3,direction_conditional_top,0,457,4.580414235483246,0.2139242263207252,0.07606653774715401,-0.0196120367005205,0.7242888402625821,0.6345733041575492
kpx_group_3,direction_conditional_top,1,457,6.7492885967864265,0.2601137986870897,0.09037774291063921,-0.015408662439186538,0.5842450765864332,0.4923413566739606
kpx_group_3,direction_conditional_top,2,456,7.92335284653328,0.31640423433583964,0.11017092613257941,-0.011753163303351253,0.4956140350877193,0.3815789473684211
kpx_group_3,direction_conditional_top,3,457,9.011899578752404,0.3676960630405335,0.13014930005918576,0.014781358545649485,0.4179431072210066,0.33260393873085337
kpx_group_3,direction_conditional_top,4,456,10.006345988365181,0.4503213558897243,0.1414173528332758,0.01481935272276113,0.3048245614035088,0.23684210526315788
kpx_group_3,direction_conditional_top,5,457,10.988824670663584,0.522982484734813,0.15438119433575742,0.0253616863768109,0.3172866520787746,0.23851203501094093
kpx_group_3,direction_conditional_top,6,456,12.096154196743363,0.5660477635756057,0.15333402194309348,0.047851749548974684,0.32456140350877194,0.25219298245614036
