target,feature_family,speed_decile,rows,settlement_weight_share,in8_rate,near_8_10_rate,lost_10_15_rate,mean_signed_error_ratio,mean_abs_error_ratio
kpx_group_2,soft_upstream,8,497,0.13702688195513035,0.5110663983903421,0.08853118712273642,0.16498993963782696,0.0727558811568788,0.11369209125940417
kpx_group_2,soft_upstream,9,498,0.15151446827430115,0.6244979919678715,0.08032128514056225,0.12048192771084337,0.05927063866329058,0.09404238367635236
kpx_group_2,static_corr_top,0,498,0.040614685004258515,0.7469879518072289,0.04819277108433735,0.08433734939759036,-0.021642075936235964,0.06908981396685425
kpx_group_2,static_corr_top,1,498,0.05331278723149321,0.5883534136546185,0.07028112449799197,0.13052208835341367,-0.02960455945496021,0.09456315034483578
kpx_group_2,static_corr_top,2,497,0.06437371857800821,0.46277665995975853,0.08249496981891348,0.19517102615694165,-0.009186928149861596,0.11366399396883842
kpx_group_2,static_corr_top,3,498,0.07966455410760463,0.37751004016064255,0.07228915662650602,0.1746987951807229,0.00400422463329519,0.13749803039319425
kpx_group_2,static_corr_top,4,497,0.09699208850570494,0.3118712273641851,0.06237424547283702,0.1790744466800805,0.04441524605036601,0.15648926125982754
kpx_group_2,static_corr_top,5,498,0.10840168858128137,0.3473895582329317,0.0823293172690763,0.178714859437751,0.06251592385459913,0.1497518324770611
kpx_group_2,static_corr_top,6,497,0.12501248514879318,0.40040241448692154,0.07645875251509054,0.18712273641851107,0.06586929591832821,0.1378917428947996
kpx_group_2,static_corr_top,7,498,0.13331237828469586,0.4357429718875502,0.08433734939759036,0.178714859437751,0.07170282735317422,0.12997337453374533
kpx_group_2,static_corr_top,8,497,0.14210145638501934,0.5110663983903421,0.06841046277665996,0.17706237424547283,0.08606878921121235,0.125806184408255
kpx_group_2,static_corr_top,9,498,0.15621415817314063,0.6465863453815262,0.08634538152610442,0.10240963855421686,0.05357884255029939,0.08785667124129491
kpx_group_3,direction_conditional_top,0,457,0.044176406879159566,0.7242888402625821,0.04157549234135667,0.10722100656455143,-0.0196120367005205,0.07606653774715401
kpx_group_3,direction_conditional_top,1,457,0.05371478117890673,0.5842450765864332,0.07221006564551423,0.16630196936542668,-0.015408662439186538,0.09037774291063921
kpx_group_3,direction_conditional_top,2,456,0.06519605970485341,0.4956140350877193,0.08552631578947369,0.15570175438596492,-0.011753163303351253,0.11017092613257941
kpx_group_3,direction_conditional_top,3,457,0.07593104889574641,0.4179431072210066,0.07221006564551423,0.17286652078774617,0.014781358545649485,0.13014930005918576
kpx_group_3,direction_conditional_top,4,456,0.0927900919739096,0.3048245614035088,0.09429824561403509,0.19956140350877194,0.01481935272276113,0.1414173528332758
kpx_group_3,direction_conditional_top,5,457,0.10799846017290775,0.3172866520787746,0.061269146608315096,0.17067833698030635,0.0253616863768109,0.15438119433575742
kpx_group_3,direction_conditional_top,6,456,0.11663587204304916,0.32456140350877194,0.07017543859649122,0.12280701754385964,0.047851749548974684,0.15333402194309348
kpx_group_3,direction_conditional_top,7,457,0.1357515226032859,0.2647702407002188,0.07439824945295405,0.175054704595186,0.034292939103908016,0.1534958699249932
kpx_group_3,direction_conditional_top,8,456,0.14570972312084224,0.33771929824561403,0.05263157894736842,0.18201754385964913,0.013139040955214011,0.1460599470983001
kpx_group_3,direction_conditional_top,9,457,0.16209603342733914,0.2735229759299781,0.06345733041575492,0.18161925601750548,-0.05646257703558855,0.15656502525036564
kpx_group_3,nearest_modal,0,457,0.04109508462462281,0.787746170678337,0.0437636761487965,0.07439824945295405,-0.01264189366904856,0.0658259410668878
kpx_group_3,nearest_modal,1,457,0.053517160761581604,0.5973741794310722,0.0787746170678337,0.16411378555798686,-0.022584770921354264,0.09036115980047807
kpx_group_3,nearest_modal,2,456,0.06584151597808795,0.4824561403508772,0.07017543859649122,0.16228070175438597,-0.017526497928599796,0.11430438348286331
kpx_group_3,nearest_modal,3,457,0.07763867586294049,0.35667396061269147,0.07658643326039387,0.1925601750547046,0.008902796749939771,0.13639651239074485
kpx_group_3,nearest_modal,4,456,0.09223551019845738,0.2894736842105263,0.09649122807017543,0.19956140350877194,0.024529487478324737,0.14636079802866975
kpx_group_3,nearest_modal,5,457,0.10953398614427047,0.3522975929978118,0.05689277899343545,0.15536105032822758,0.02589743616296502,0.1457639457753172
kpx_group_3,nearest_modal,6,456,0.1188059618358984,0.30043859649122806,0.07675438596491228,0.14692982456140352,0.04822501892168439,0.1594558731171235
kpx_group_3,nearest_modal,7,457,0.1330081779500902,0.2800875273522976,0.0700218818380744,0.17286652078774617,0.040268657310951785,0.15256024494549153
kpx_group_3,nearest_modal,8,456,0.1477011766189525,0.3333333333333333,0.06359649122807018,0.18201754385964913,0.005386970190792048,0.14121718538384875
kpx_group_3,nearest_modal,9,457,0.16062275002509813,0.2647702407002188,0.05470459518599562,0.1838074398249453,-0.053455048252409126,0.1597945350579351
kpx_group_3,soft_upstream,0,457,0.044211885101384345,0.7330415754923414,0.05908096280087528,0.0787746170678337,-0.02226605790023575,0.07431441524993096
kpx_group_3,soft_upstream,1,457,0.06060348612566814,0.5536105032822757,0.06345733041575492,0.16849015317286653,-0.028737202182446128,0.10197517933757752
kpx_group_3,soft_upstream,2,456,0.06792135401558592,0.46271929824561403,0.07456140350877193,0.17324561403508773,-0.0072861292566486205,0.11696731064814099
kpx_group_3,soft_upstream,3,457,0.07993542956411229,0.40700218818380746,0.0700218818380744,0.17286652078774617,0.021450072637594197,0.12836814945598488
kpx_group_3,soft_upstream,4,456,0.09383888053745595,0.36622807017543857,0.05701754385964912,0.19078947368421054,0.03083980058661482,0.1402708760375302
kpx_group_3,soft_upstream,5,457,0.10712426226234019,0.31072210065645517,0.11159737417943107,0.15973741794310722,0.024569333430660357,0.14477268332021936
kpx_group_3,soft_upstream,6,456,0.11668411010512679,0.3267543859649123,0.07456140350877193,0.15570175438596492,0.026860171084978287,0.14842473878114273
kpx_group_3,soft_upstream,7,457,0.1260712348982159,0.31291028446389496,0.0525164113785558,0.15973741794310722,0.05072890591808171,0.15326117936696967
