model_id,month,score,one_minus_nmae,ficr,avg_nmae,eligible_hours
hist_gbdt_l2__alpha,3,0.5939654194856103,0.857372463552076,0.33055837541914473,0.14262753644792406,1587
hist_gbdt_l2__alpha,4,0.6274527834468766,0.8822367105520862,0.3726688563416671,0.1177632894479138,1166
hist_gbdt_l2__alpha,5,0.6206000204829341,0.8769789013227439,0.3642211396431243,0.12302109867725608,1545
hist_gbdt_l2__alpha,6,0.5940159752673693,0.8733584831357635,0.31467346739897517,0.12664151686423655,970
hist_gbdt_l2__alpha,7,0.607761812859984,0.8578888276704095,0.3576347980495585,0.14211117232959053,1577
hist_gbdt_l2__alpha,8,0.6226940199708653,0.8698258138259947,0.37556222611573586,0.13017418617400534,689
hist_gbdt_l2__alpha,9,0.6249953408634017,0.887543227295801,0.3624474544310024,0.11245677270419897,837
hist_gbdt_l2__alpha,10,0.6208857087528855,0.8802515219990621,0.3615198955067089,0.11974847800093787,895
hist_gbdt_l2__alpha,11,0.5867422245381713,0.8609032301430417,0.31258121893330076,0.13909676985695832,963
hist_gbdt_l2__alpha,12,0.6433256232686353,0.8791732209216977,0.407478025615573,0.12082677907830229,2038
extra_trees__alpha,1,0.5960478002927418,0.8497356457314242,0.3423599548540594,0.15026435426857573,1492
extra_trees__alpha,2,0.5701454570401411,0.8568229047346424,0.2834680093456397,0.14317709526535757,772
extra_trees__alpha,3,0.6132162699762068,0.8642315460104608,0.36220099394195276,0.13576845398953916,1587
extra_trees__alpha,4,0.6202602638897234,0.8871782903922532,0.35334223738719367,0.1128217096077469,1166
extra_trees__alpha,5,0.6208627691113249,0.8761557170249739,0.36556982119767584,0.12384428297502618,1545
extra_trees__alpha,6,0.6059914636345207,0.8804484638560143,0.3315344634130273,0.11955153614398568,970
extra_trees__alpha,7,0.6020788855553716,0.8589405018762286,0.3452172692345146,0.14105949812377133,1577
extra_trees__alpha,8,0.6101988931014894,0.8732453183790242,0.3471524678239546,0.12675468162097578,689
extra_trees__alpha,9,0.6258077190372685,0.8952668714015739,0.35634856667296316,0.10473312859842615,837
extra_trees__alpha,10,0.5861418027599479,0.8742043097001247,0.2980792958197711,0.12579569029987522,895
extra_trees__alpha,11,0.5664070283608884,0.8573112847664508,0.27550277195532596,0.14268871523354917,963
extra_trees__alpha,12,0.6467035106511407,0.884512479236538,0.40889454206574355,0.11548752076346203,2038
random_forest__alpha,1,0.6011235796089923,0.849372495807461,0.3528746634105236,0.15062750419253904,1492
random_forest__alpha,2,0.5827801032697622,0.8540098047558392,0.31155040178368515,0.1459901952441608,772
random_forest__alpha,3,0.6127945095420466,0.8620787291962725,0.3635102898878207,0.13792127080372754,1587
random_forest__alpha,4,0.6116994059921759,0.8824980398288319,0.34090077215551995,0.11750196017116805,1166
random_forest__alpha,5,0.6140156220163082,0.8746667206342749,0.3533645233983416,0.1253332793657251,1545
random_forest__alpha,6,0.6020614573189603,0.8753002202940992,0.32882269434382144,0.12469977970590089,970
random_forest__alpha,7,0.6001262757980503,0.8580947757583007,0.3421577758378,0.1419052242416993,1577
random_forest__alpha,8,0.6065548026395714,0.873335654579587,0.3397739506995559,0.12666434542041305,689
random_forest__alpha,9,0.63247421343566,0.8918734800284576,0.37307494684286246,0.10812651997154249,837
random_forest__alpha,10,0.5891141018553719,0.8732999118607245,0.30492829185001935,0.12670008813927544,895
random_forest__alpha,11,0.5843651343345463,0.8600197104212737,0.30871055824781896,0.13998028957872632,963
random_forest__alpha,12,0.6234474202380078,0.8788764542877319,0.36801838618828375,0.12112354571226809,2038
ridge__alpha,1,0.6096755995492228,0.8534642645305969,0.36588693456784877,0.1465357354694031,1492
ridge__alpha,2,0.5687021953222552,0.8430267972350418,0.2943775934094686,0.15697320276495816,772
ridge__alpha,3,0.5933750816123176,0.8565012914100221,0.33024887181461293,0.14349870858997787,1587
ridge__alpha,4,0.5974406468784488,0.879627416692736,0.31525387706416147,0.12037258330726397,1166
ridge__alpha,5,0.5946500408064035,0.8677701423711492,0.3215299392416576,0.13222985762885078,1545
