model,target,actual_bin,abs_error,ficr_pass_rate,rows
random_forest,kpx_group_3,10-30%,0.11363877061761289,0.47179827471798275,1507
random_forest,kpx_group_3,30-60%,0.12271995584040539,0.38812154696132595,1448
random_forest,kpx_group_3,60-80%,0.14203301662127116,0.3503893214682981,899
random_forest,kpx_group_3,80%+,0.2837530427859073,0.018258426966292134,712
ridge,kpx_group_1,<10%,0.13197970281801422,0.0,3789
ridge,kpx_group_1,10-30%,0.11962247869283588,0.4202059202059202,1554
ridge,kpx_group_1,30-60%,0.1180875679884183,0.4056603773584906,1484
ridge,kpx_group_1,60-80%,0.13229500871183458,0.35913591359135916,1111
ridge,kpx_group_1,80%+,0.13833369361709336,0.3773809523809524,840
ridge,kpx_group_2,<10%,0.09247459261512506,0.0,3802
ridge,kpx_group_2,10-30%,0.12679122929065711,0.41086350974930363,1436
ridge,kpx_group_2,30-60%,0.13225201569228665,0.3734610123119015,1462
ridge,kpx_group_2,60-80%,0.14794633803321694,0.33511111111111114,1125
ridge,kpx_group_2,80%+,0.15056200853673937,0.32214060860440713,953
ridge,kpx_group_3,<10%,0.07430323864375162,0.0,4212
ridge,kpx_group_3,10-30%,0.11202077667340918,0.45189117451891175,1507
ridge,kpx_group_3,30-60%,0.11639671013138075,0.425414364640884,1448
ridge,kpx_group_3,60-80%,0.1702169039420007,0.2725250278086763,899
ridge,kpx_group_3,80%+,0.26297355630734054,0.0997191011235955,712
xgboost_l1,kpx_group_1,<10%,0.05539316350949204,0.0,3789
xgboost_l1,kpx_group_1,10-30%,0.09888141535534084,0.5135135135135135,1554
xgboost_l1,kpx_group_1,30-60%,0.13472457950940744,0.3557951482479784,1484
xgboost_l1,kpx_group_1,60-80%,0.1276797100415875,0.42574257425742573,1111
xgboost_l1,kpx_group_1,80%+,0.1253100574535521,0.4452380952380952,840
xgboost_l1,kpx_group_2,<10%,0.04969964201539532,0.0,3802
xgboost_l1,kpx_group_2,10-30%,0.12331850426659204,0.4923398328690808,1436
xgboost_l1,kpx_group_2,30-60%,0.14224992964589422,0.32968536251709984,1462
xgboost_l1,kpx_group_2,60-80%,0.1291916655592181,0.40444444444444444,1125
xgboost_l1,kpx_group_2,80%+,0.09425363712614403,0.5876180482686254,953
xgboost_l1,kpx_group_3,<10%,0.03949834785503885,0.0,4212
xgboost_l1,kpx_group_3,10-30%,0.10361541803351866,0.49635036496350365,1507
xgboost_l1,kpx_group_3,30-60%,0.13951395095199726,0.3314917127071823,1448
xgboost_l1,kpx_group_3,60-80%,0.14064386236254567,0.4082313681868743,899
xgboost_l1,kpx_group_3,80%+,0.24491856788988092,0.06460674157303371,712
