target,lead_hour,rows,candidate_abs_error,baseline_abs_error,mean_signed_error,std_signed_error,mean_actual_ratio,mean_abs_source_disagreement,pass_to_fail,fail_to_pass,net_ficr_pass
kpx_group_2,16.0,366,0.11074826040693762,0.11175842694634773,0.04555552395964367,0.16398051897669003,0.3591896435438171,2.833132463712419,2,8,6
kpx_group_2,17.0,366,0.10755930198415002,0.10787831703335486,0.045228273515348395,0.15572757272299578,0.34698882475713416,2.6763271291935093,2,6,4
kpx_group_2,18.0,366,0.10095977699706835,0.10128053755439954,0.03602785204656745,0.15620421119471814,0.33532587102813194,2.6071406355253166,3,5,2
kpx_group_2,19.0,366,0.10027492057693344,0.10104212972975589,0.034693327615552286,0.15390656057326,0.31642182630034404,2.6208722592673586,2,6,4
kpx_group_2,20.0,366,0.09427435526664749,0.09422803659996713,0.03227921984342859,0.14772627681460246,0.2953077685438171,2.507768790390512,6,4,-2
kpx_group_2,21.0,366,0.08723483688682909,0.0877939670195002,0.011068823132311648,0.1426299828834391,0.2743912925015179,2.4312158579326857,5,9,4
kpx_group_2,22.0,366,0.08208479398360549,0.08128855621848065,0.01857312591084012,0.13873397989638128,0.24894318951123254,2.394879453112491,6,5,-1
kpx_group_2,23.0,366,0.0737191092472968,0.0739926155873451,0.019703579058064444,0.12249776551599077,0.2378757544770045,2.5666322075393238,3,5,2
kpx_group_2,24.0,366,0.07578041496168116,0.07698560528167253,0.025313375877177368,0.12450438235149243,0.22981859317765568,2.6933838412359203,5,3,-2
kpx_group_2,25.0,366,0.08012267817078508,0.08052192421373826,0.027590547558509256,0.1254439902484614,0.23038884857041106,2.8090397700822627,3,3,0
kpx_group_2,26.0,366,0.07798479645345963,0.07846952601628573,0.02832347437318937,0.12978075654727328,0.23337246281117183,2.792468600297367,5,4,-1
kpx_group_2,27.0,366,0.08185638204240123,0.08142612030376237,0.038681988394669624,0.13451097633639497,0.2298690033647035,2.6675706245018977,6,3,-3
kpx_group_2,28.0,366,0.0916512080885528,0.0916229787440416,0.04235208337731514,0.14370599683392193,0.23758027347702892,2.4634744236066735,1,3,2
kpx_group_2,29.0,366,0.09786929026556006,0.09769793884199153,0.05052688361341281,0.14478822660908824,0.2474960684831006,2.406175789388311,5,6,1
kpx_group_2,30.0,366,0.09981213817866053,0.09807585625222164,0.051080649862616935,0.14376522169885794,0.269865153562032,2.536681033505942,5,7,2
kpx_group_2,31.0,366,0.10402676972187654,0.10235975980471324,0.04583954102896197,0.14905402706131582,0.2956078026968225,2.7128062255964593,4,2,-2
kpx_group_2,32.0,366,0.09998102071811489,0.099085148873207,0.02888690074750604,0.1472957677085815,0.32663765824225865,2.7895665162348133,9,4,-5
kpx_group_2,33.0,366,0.11297179684389132,0.112892427835344,0.0426970871354762,0.16105096884091197,0.34293103066180936,2.805415823018424,4,3,-1
kpx_group_2,34.0,366,0.11338226254912626,0.11331011567969454,0.03402075550090131,0.16312299917833067,0.35905609049281517,2.765363757078025,4,8,4
kpx_group_2,35.0,366,0.11499324315673665,0.11445087530170035,0.04604935789325402,0.16055186720679573,0.35275352281926736,2.8416153180943162,1,2,1
kpx_group_3,12.0,366,0.10430002302984955,0.10515064820330204,0.013998362141422747,0.14877441621149615,0.309589860135311,2.8731704786963985,3,3,0
kpx_group_3,13.0,366,0.10752683001815619,0.10833414958393581,0.020806282740587906,0.1526372550618279,0.3085699488680718,2.8608405453925796,6,6,0
kpx_group_3,14.0,366,0.10655080112529064,0.1065364148325738,0.020074279411421325,0.15415628233967485,0.3113079005984908,2.8452552777397537,3,5,2
kpx_group_3,15.0,366,0.10608613183292735,0.1065006364288124,0.0141433361025568,0.15057395572062998,0.3105326174863388,2.86891824496695,4,7,3
kpx_group_3,16.0,366,0.10370549815682235,0.10416635828848793,0.014479018579538434,0.15060767685450197,0.30268758951340097,2.8014788190198523,6,5,-1
kpx_group_3,17.0,366,0.10327347602124931,0.10263318434611672,0.019270821374632506,0.1459599900902718,0.28565019177725737,2.690486629499881,3,4,1
kpx_group_3,18.0,366,0.10222468013974671,0.10268163201473855,0.015955586959433294,0.1527438174207551,0.2712641847514962,2.601633381428488,5,7,2
kpx_group_3,19.0,366,0.09354322455634685,0.09262614643712526,0.010146998015069861,0.14326702445031708,0.25921907988550613,2.573992253392947,8,3,-5
kpx_group_3,20.0,366,0.08289306161471452,0.08262887052093183,0.009615107247092997,0.12980013375541088,0.24704413309914128,2.4924080835723728,3,6,3
kpx_group_3,21.0,366,0.08007174010787078,0.07972361726050202,-0.0013013263294974083,0.12259023333475756,0.23708401288056205,2.413095496092562,6,4,-2
kpx_group_3,22.0,366,0.07927204535122101,0.07847419204822927,0.012164033250357215,0.1262956365353079,0.21560567707520167,2.4378530289109226,4,7,3
kpx_group_3,23.0,366,0.07269278316786575,0.07244924485713752,0.014187375038702972,0.11393925542532028,0.20928817569335426,2.6033316644855287,5,4,-1
kpx_group_3,24.0,366,0.07482191507123388,0.07474553736428122,0.017591140064170393,0.11494075960034345,0.20456551190476188,2.6706078751527413,1,3,2
kpx_group_3,25.0,366,0.07551700885812393,0.07467978955148977,0.021212361330554413,0.11268574168369422,0.20401112859759288,2.7661981283681225,4,3,-1
kpx_group_3,26.0,366,0.07550965226773128,0.07476804048022816,0.019636673147785527,0.11569019626217347,0.20970261553473848,2.721855479497656,6,7,1
kpx_group_3,27.0,366,0.07917448814925106,0.07935124258488016,0.026482732664742506,0.12112187519138976,0.2050151693989071,2.582985163122299,4,5,1
kpx_group_3,28.0,366,0.08882555507623512,0.08917925773902731,0.024342774202028024,0.13907583117999459,0.21418683554514703,2.344719521354712,2,5,3
kpx_group_3,29.0,366,0.08707164218220881,0.08755820070591613,0.027336634123805957,0.13238495143105983,0.2248375602393963,2.2968298227152237,5,3,-2
kpx_group_3,30.0,366,0.09203483211390408,0.09280321182199211,0.019961819805866258,0.13854899729838202,0.24511909992193598,2.3742356825292243,2,3,1
kpx_group_3,31.0,366,0.1023274899398812,0.10289946206254627,0.017899200095197607,0.15012819026415478,0.2643092232630757,2.4909306086890366,3,8,5
kpx_group_3,32.0,366,0.1019900011408113,0.10172228959981588,0.0008456082866931642,0.15048798282292347,0.29138577426489726,2.6167747287262806,5,2,-3
kpx_group_3,33.0,366,0.111646119905282,0.11127622330389614,0.0002280960313574967,0.16442223862436983,0.30628738173302106,2.679790924729196,3,3,0
kpx_group_3,34.0,366,0.11126755856478227,0.11218298476721872,-0.005191049078443978,0.16398156224812757,0.3203930072859745,2.6343085796582284,3,5,2
kpx_group_3,35.0,366,0.11323242810383825,0.1147786097659007,0.005764962074018326,0.16465449342793612,0.3130936850117096,2.7776550227108263,2,5,3
