target,data_available_kst_dtm,rows,mean_signed_error,mean_abs_error,mean_actual_ratio,mean_ldaps_speed,mean_source_disagreement,pass_to_fail,fail_to_pass,net_ficr_pass,abs_cycle_bias
kpx_group_3,2024-08-28 13:00:00,24,-0.2133009151364814,0.2314333780681381,0.39251403373015875,7.4933431049454375,-2.8249613505940943,0,0,0,0.2133009151364814
kpx_group_2,2024-02-20 13:00:00,24,0.20885350631452526,0.20885350631452526,0.00011159722222222223,9.585731904351098,1.7330245586503104,0,0,0,0.20885350631452526
kpx_group_2,2024-07-17 13:00:00,24,0.20505934240711401,0.20505934240711401,0.6092716898148148,15.610466968412448,-2.0430947840290874,0,0,0,0.20505934240711401
kpx_group_2,2024-11-29 13:00:00,24,0.2030537659843744,0.20443798495218699,0.6926915200617284,13.347631550593064,-5.494354842240679,0,0,0,0.2030537659843744
kpx_group_2,2024-03-30 13:00:00,24,0.20281295891336515,0.21615612454903566,0.1824355478395062,7.567591238504929,-0.4016922089477539,0,1,1,0.20281295891336515
kpx_group_3,2024-11-28 13:00:00,24,-0.19782506721799908,0.19782506721799908,0.8723235535714285,14.814890889386348,-5.16193010850023,1,1,0,0.19782506721799908
kpx_group_2,2024-02-18 13:00:00,24,0.19664976715310478,0.23356255940595202,0.36467580246913583,10.768907769688704,-2.254505886541487,0,1,1,0.19664976715310478
kpx_group_1,2024-07-23 13:00:00,24,-0.196374726885841,0.20725376235561024,0.7139231288580247,11.113768103388113,0.07635068309976707,0,1,1,0.196374726885841
kpx_group_2,2024-01-30 13:00:00,24,0.19559750246903942,0.2343986513280486,0.37363158179012346,9.207024805620932,-1.250505721342325,0,0,0,0.19559750246903942
kpx_group_3,2024-10-22 13:00:00,24,-0.18594276785658284,0.2510576891251377,0.7798339603174603,17.58411351134135,-3.3031723920705196,1,0,-1,0.18594276785658284
kpx_group_1,2024-05-05 13:00:00,24,0.1848181585571543,0.213948292948307,0.49466008873456796,13.058164327162778,0.5252611982084312,0,0,0,0.1848181585571543
kpx_group_1,2024-11-03 13:00:00,24,0.18221159446265459,0.19853335784137205,0.5222807002314814,12.405148269100003,-4.45033655055027,0,0,0,0.18221159446265459
kpx_group_1,2024-02-29 13:00:00,24,0.18087459012226667,0.19288416049462145,0.43891666859567896,13.591314938236927,-3.1665501063721795,1,0,-1,0.18087459012226667
kpx_group_3,2024-07-03 13:00:00,24,0.18076832092679537,0.19345743692494297,0.49961027579365075,16.018023073010053,1.4079966436767926,0,0,0,0.18076832092679537
kpx_group_3,2024-12-19 13:00:00,24,0.17899538801266182,0.21407965394680462,0.48379837301587303,13.194362079711896,2.7387938250537602,1,0,-1,0.17899538801266182
kpx_group_1,2024-02-21 13:00:00,24,0.1785419103435173,0.1785419103435173,0.0,8.992459796616176,1.689691270285974,0,0,0,0.1785419103435173
kpx_group_3,2024-11-25 13:00:00,24,-0.17793950632487499,0.20410910252181416,0.8639154126984127,18.308022163825346,-4.084678622271848,1,0,-1,0.17793950632487499
kpx_group_1,2024-01-30 13:00:00,24,0.17749574885991967,0.22027887590003456,0.3622764351851852,9.207024805620932,-1.250505721342325,0,0,0,0.17749574885991967
kpx_group_3,2024-12-06 13:00:00,24,0.1774664169755907,0.1847728216775023,0.5811951111111111,12.922499653968059,-5.636800769725475,0,0,0,0.1774664169755907
kpx_group_3,2024-07-31 13:00:00,24,0.17692442685437895,0.17692442685437895,0.3623250654761905,11.34293372111047,2.2052030851774433,1,1,0,0.17692442685437895
kpx_group_1,2024-05-11 13:00:00,24,0.17535661709972297,0.1814284187693617,0.3265928375771605,11.40286980508458,1.496569839424305,0,0,0,0.17535661709972297
kpx_group_3,2024-12-22 13:00:00,24,0.17344791367646753,0.24602279538290242,0.5605621547619047,12.305957279889135,-3.8909290917217443,0,0,0,0.17344791367646753
kpx_group_1,2024-02-07 13:00:00,24,0.16969368117321193,0.16969368117321193,0.013447613811728395,5.9364868077893655,3.512583332342535,0,0,0,0.16969368117321193
kpx_group_1,2024-07-03 13:00:00,24,0.16648397718152683,0.1741778683125629,0.4743491724537037,15.758040188701722,1.1480137593684645,1,1,0,0.16648397718152683
