experiment_id,month,score,one_minus_nmae,ficr,avg_nmae,eligible_hours
B0_W4_2022_2023_to_2024,11,0.40776880371304436,0.7187276811993191,0.0968099262267696,0.281272318800681,963
B0_W4_2022_2023_to_2024,12,0.455721949339636,0.7744870237686552,0.13695687491061678,0.22551297623134478,2038
B0_W5_2022_2023_recency_to_2024,1,0.4558670432119629,0.7497176906297067,0.16201639579421911,0.25028230937029333,1492
B0_W5_2022_2023_recency_to_2024,2,0.4168119166817696,0.6733773446135642,0.16024648874997496,0.3266226553864358,772
B0_W5_2022_2023_recency_to_2024,3,0.4782848047910259,0.7488891335227426,0.2076804760593093,0.2511108664772575,1587
B0_W5_2022_2023_recency_to_2024,4,0.5099663444127503,0.8191655754315298,0.20076711339397094,0.1808344245684702,1166
B0_W5_2022_2023_recency_to_2024,5,0.48053644883695895,0.7354626556647794,0.22561024200913846,0.2645373443352205,1545
B0_W5_2022_2023_recency_to_2024,6,0.5557678444038026,0.8163418566019823,0.2951938322056229,0.18365814339801767,970
B0_W5_2022_2023_recency_to_2024,7,0.36372337356792034,0.6150392145855903,0.11240753255025034,0.3849607854144097,1577
B0_W5_2022_2023_recency_to_2024,8,0.5149349098959443,0.7640487939215119,0.26582102587037665,0.2359512060784881,689
B0_W5_2022_2023_recency_to_2024,9,0.613422162795927,0.8517271119047276,0.3751172136871264,0.14827288809527236,837
B0_W5_2022_2023_recency_to_2024,10,0.5162901931430118,0.7747573708307239,0.2578230154552998,0.2252426291692761,895
B0_W5_2022_2023_recency_to_2024,11,0.41517104895676354,0.7246146373359754,0.10572746057755171,0.27538536266402464,963
B0_W5_2022_2023_recency_to_2024,12,0.4508297537625022,0.7696733372523504,0.1319861702726539,0.2303266627476496,2038
B1_lgbm_W3_2023_to_2024,1,0.5971774289542197,0.848438640071119,0.34591621783732035,0.151561359928881,1492
B1_lgbm_W3_2023_to_2024,2,0.6143088389743983,0.8624351308274204,0.36618254712137605,0.1375648691725796,772
B1_lgbm_W3_2023_to_2024,3,0.6291198032760908,0.868789787149338,0.38944981940284373,0.131210212850662,1587
B1_lgbm_W3_2023_to_2024,4,0.652519017879243,0.8803167973366315,0.4247212384218546,0.11968320266336852,1166
B1_lgbm_W3_2023_to_2024,5,0.6188122917346746,0.8686896423793364,0.36893494109001274,0.13131035762066356,1545
B1_lgbm_W3_2023_to_2024,6,0.6404813768132167,0.8770714083386254,0.40389134528780807,0.12292859166137456,970
B1_lgbm_W3_2023_to_2024,7,0.6047179207719714,0.8606814247872376,0.3487544167567052,0.13931857521276236,1577
B1_lgbm_W3_2023_to_2024,8,0.6208034884827781,0.8631961164373293,0.378410860528227,0.1368038835626707,689
B1_lgbm_W3_2023_to_2024,9,0.642750843339144,0.8852943609362022,0.40020732574208595,0.11470563906379778,837
B1_lgbm_W3_2023_to_2024,10,0.6213036250845965,0.8691867074375205,0.3734205427316726,0.13081329256247956,895
B1_lgbm_W3_2023_to_2024,11,0.5785914634032049,0.8566198813954037,0.30056304541100615,0.14338011860459632,963
B1_lgbm_W3_2023_to_2024,12,0.6230715373778531,0.8741028049939639,0.3720402697617424,0.12589719500603616,2038
B1_lgbm_W4_2022_2023_to_2024,1,0.6085432205798081,0.8522445145644976,0.36484192659511877,0.1477554854355024,1492
B1_lgbm_W4_2022_2023_to_2024,2,0.606565514928059,0.8585090605632768,0.35462196929284123,0.14149093943672314,772
B1_lgbm_W4_2022_2023_to_2024,3,0.6137430132373525,0.8631900092637527,0.3642960172109524,0.1368099907362473,1587
B1_lgbm_W4_2022_2023_to_2024,4,0.6530698961249733,0.8818158606770119,0.4243239315729348,0.11818413932298806,1166
