score,one_minus_nmae,avg_nmae,ficr,eligible_hours,candidate,gate,threshold,specialist,delta_score_vs_base
0.6111684563932647,0.867527487478782,0.13247251252121808,0.35480942530774734,14531,lead_pred_ge_0.55::B1_plus_scada_wind_proxy,lead_pred,0.55,B1_plus_scada_wind_proxy,-0.0006666525582812444
0.6111446816658948,0.8683149906601805,0.13168500933981953,0.3539743726716091,14531,lead_pred_ge_0.60::B1_plus_fundamental_all,lead_pred,0.6,B1_plus_fundamental_all,-0.0006904272856511628
0.611081483205471,0.8680526693398631,0.1319473306601369,0.3541102970710788,14531,lead_pred_ge_0.60::B1_plus_scada_wind_proxy,lead_pred,0.6,B1_plus_scada_wind_proxy,-0.0007536257460749596
0.610813945141081,0.8685240195823299,0.13147598041767006,0.3531038706998322,14531,lead_pred_ge_0.65::B1_plus_fundamental_all,lead_pred,0.65,B1_plus_fundamental_all,-0.001021163810464909
0.6106590342211762,0.8691654597013796,0.1308345402986204,0.35215260874097276,14531,lead_pred_ge_0.75::B1_plus_scada_wind_proxy,lead_pred,0.75,B1_plus_scada_wind_proxy,-0.001176074730369736
0.6105197799795957,0.8674615328514698,0.1325384671485302,0.35357802710772174,14531,lead_pred_ge_0.55::B1_plus_proxy_power_curve,lead_pred,0.55,B1_plus_proxy_power_curve,-0.0013153289719501915
0.6105167141561811,0.8682656588967922,0.13173434110320778,0.35276776941557,14531,lead_pred_ge_0.65::B1_plus_scada_wind_proxy,lead_pred,0.65,B1_plus_scada_wind_proxy,-0.0013183947953647746
0.6100762903890788,0.8680124231091964,0.13198757689080362,0.3521401576689614,14531,lead_pred_ge_0.60::B1_plus_proxy_power_curve,lead_pred,0.6,B1_plus_proxy_power_curve,-0.0017588185624670682
0.609881050543672,0.86924884857448,0.13075115142552,0.3505132525128641,14531,lead_pred_ge_0.75::B1_plus_fundamental_all,lead_pred,0.75,B1_plus_fundamental_all,-0.001954058407873882
0.609771485915514,0.8687079571028358,0.13129204289716426,0.3508350147281923,14531,lead_pred_ge_0.70::B1_plus_scada_wind_proxy,lead_pred,0.7,B1_plus_scada_wind_proxy,-0.002063623036031914
0.6097613159413815,0.868832628298041,0.131167371701959,0.3506900035847221,14531,lead_pred_ge_0.70::B1_plus_fundamental_all,lead_pred,0.7,B1_plus_fundamental_all,-0.0020737930101644153
0.6095880435102321,0.8682001747948086,0.13179982520519137,0.3509759122256557,14531,lead_pred_ge_0.65::B1_plus_proxy_power_curve,lead_pred,0.65,B1_plus_proxy_power_curve,-0.0022470654413138114
0.6090284222035345,0.8691262680062138,0.13087373199378619,0.34893057640085506,14531,lead_pred_ge_0.75::B1_plus_proxy_power_curve,lead_pred,0.75,B1_plus_proxy_power_curve,-0.0028066867480114333
0.6083809639733182,0.8686390364045977,0.1313609635954023,0.3481228915420387,14531,lead_pred_ge_0.70::B1_plus_proxy_power_curve,lead_pred,0.7,B1_plus_proxy_power_curve,-0.0034541449782277134
