model_id,target,nmae,ficr,eligible_hours,group_score
lgbm_l1_seed777__alpha,kpx_group_2,0.12392318210059802,0.4394765824159996,4976,0.6577767001577007
lgbm_l1_seed777__alpha,kpx_group_3,0.14457007844598038,0.26962440601533283,4566,0.5625271637846763
linear_svr__alpha,kpx_group_1,0.3255456369656395,0.026078881118917045,4989,0.3502666220766388
linear_svr__alpha,kpx_group_2,0.3389721341285597,0.022985670301643172,4976,0.3420067680865418
linear_svr__alpha,kpx_group_3,0.3263882254306933,0.03214529225874531,4566,0.352878533414026
mlp_regressor_medium__alpha,kpx_group_1,0.13122330116028014,0.38944125113412337,4989,0.6291089749869216
mlp_regressor_medium__alpha,kpx_group_2,0.1371237846281813,0.3464168501972235,4976,0.6046465327845211
mlp_regressor_medium__alpha,kpx_group_3,0.15471817672887786,0.26748209201209705,4566,0.5563819576416096
mlp_regressor__alpha,kpx_group_1,0.19668252551059187,0.19931742344532224,4989,0.5013174489673652
mlp_regressor__alpha,kpx_group_2,0.21719483925467098,0.18009149003654817,4976,0.4814483253909386
mlp_regressor__alpha,kpx_group_3,0.21358374773779598,0.1634221132928264,4566,0.4749191827775152
ngboost_normal_260_lr03__alpha,kpx_group_1,0.12195701837126655,0.35175972403928574,4989,0.6149013528340096
ngboost_normal_260_lr03__alpha,kpx_group_2,0.12462478763111363,0.3963733713472393,4976,0.6358742918580629
ngboost_normal_260_lr03__alpha,kpx_group_3,0.14705132999189993,0.2749849759983331,4566,0.5639668230032165
ngboost_normal__alpha,kpx_group_1,0.12409467086117144,0.33921423842733806,4989,0.6075597837830833
ngboost_normal__alpha,kpx_group_2,0.12739889001948404,0.4000889891685495,4976,0.6363450495745328
ngboost_normal__alpha,kpx_group_3,0.1490105164866379,0.2725544005788148,4566,0.5617719420460885
nystroem_ridge__alpha,kpx_group_1,0.2188796037331625,0.13660780773836595,4989,0.45886410200260175
nystroem_ridge__alpha,kpx_group_2,0.22135988522514102,0.12687445576891548,4976,0.4527572852718872
nystroem_ridge__alpha,kpx_group_3,0.2311352286320128,0.14261782023764372,4566,0.45574129580281547
pycaret_compare__alpha,kpx_group_1,0.12132936475197624,0.3499973819858883,4989,0.6143340086169561
pycaret_compare__alpha,kpx_group_2,0.12184011095866279,0.4162867572956824,4976,0.6472233231685098
pycaret_compare__alpha,kpx_group_3,0.14337911159829259,0.27024613237202877,4566,0.5634335103868682
radius_neighbors__alpha,kpx_group_1,0.496836603032744,0.00017650406483299392,4989,0.25166995051604446
radius_neighbors__alpha,kpx_group_2,0.5124484730205268,0.0007337776550784887,4976,0.24414265231727586
radius_neighbors__alpha,kpx_group_3,0.48409624837478754,0.0006874700310611349,4566,0.25829561082813685
random_forest_wide__alpha,kpx_group_1,0.12297466773986063,0.3539401158864096,4989,0.6154827240732745
random_forest_wide__alpha,kpx_group_2,0.12281278905649898,0.4149134474946866,4976,0.6460503292190938
random_forest_wide__alpha,kpx_group_3,0.1491009334784224,0.25903024085548193,4566,0.5549646536885298
rf_leaf5_sqrt__alpha,kpx_group_1,0.12119429013852405,0.3221458359417864,4989,0.6004757729016312
rf_leaf5_sqrt__alpha,kpx_group_2,0.12135748168563765,0.4094382971126903,4976,0.6440404077135263
rf_leaf5_sqrt__alpha,kpx_group_3,0.14400168774278058,0.2672061235456058,4566,0.5616022179014126
sgd_huber__alpha,kpx_group_1,0.4575879974668177,0.0006116918961573388,4989,0.27151184721466975
sgd_huber__alpha,kpx_group_2,0.4730327950052853,0.0016595853877037256,4976,0.2643133951912092
sgd_huber__alpha,kpx_group_3,0.45764991436156494,0.0002336433051726209,4566,0.27129186447180387
svr_rbf_sampled__alpha,kpx_group_1,0.27292213955412775,0.10192131696224471,4989,0.4144995887040585
svr_rbf_sampled__alpha,kpx_group_2,0.2877120072516851,0.08802094218341443,4976,0.40015446746586464
svr_rbf_sampled__alpha,kpx_group_3,0.3127060182210403,0.08110356824986122,4566,0.3841987750144104
tabm_torch__alpha,kpx_group_1,0.1452136424724502,0.2848099625667172,4989,0.5697981600471336
tabm_torch__alpha,kpx_group_2,0.15545620897620868,0.30045874863547845,4976,0.5725012698296349
tabm_torch__alpha,kpx_group_3,0.1695129883781167,0.23900273590879742,4566,0.5347448737653404
xgboost_pseudohuber__alpha,kpx_group_1,0.49687189996505443,0.0,4989,0.2515640500174728
xgboost_pseudohuber__alpha,kpx_group_2,0.5128816476429127,0.0,4976,0.24355917617854367
xgboost_pseudohuber__alpha,kpx_group_3,0.4843932895123067,0.0,4566,0.2578033552438467
xgboost_squarederror__alpha,kpx_group_1,0.11942315981821305,0.3828003530227369,4989,0.631688596602262
xgboost_squarederror__alpha,kpx_group_2,0.12282759361116122,0.4178454776172025,4976,0.6475089420030207
xgboost_squarederror__alpha,kpx_group_3,0.14906981014399276,0.26378799086646704,4566,0.5573590903612371
current_best_anchor__alpha,kpx_group_1,0.1168670801521223,0.4082049293234064,4989,0.6456689245856421
current_best_anchor__alpha,kpx_group_2,0.12369394139423676,0.4447657327250363,4976,0.6605358956653997
current_best_anchor__alpha,kpx_group_3,0.14018683376861546,0.2843177162006548,4566,0.5720654412160198
w3_catboost_quantile_0575_depth6_catboost_quantile_060_depth6_lgbm_l1_baseline_0.70_0.20_0.10,kpx_group_1,0.11800893368961968,0.4284551279112782,4989,0.6552230971108293
w3_catboost_quantile_0575_depth6_catboost_quantile_060_depth6_lgbm_l1_baseline_0.70_0.20_0.10,kpx_group_2,0.12724201563281665,0.44642675999716575,4976,0.6595923721821746
w3_catboost_quantile_0575_depth6_catboost_quantile_060_depth6_lgbm_l1_baseline_0.70_0.20_0.10,kpx_group_3,0.13825807891838035,0.29757469947418574,4566,0.5796583102779027
w3_catboost_quantile_060_depth6_catboost_quantile_055_depth8_lgbm_l1_baseline_0.80_0.10_0.10,kpx_group_1,0.11857471983095608,0.4259694296587243,4989,0.653697354913884
w3_catboost_quantile_060_depth6_catboost_quantile_055_depth8_lgbm_l1_baseline_0.80_0.10_0.10,kpx_group_2,0.127281201677511,0.44122687434426944,4976,0.6569728363333792
w3_catboost_quantile_060_depth6_catboost_quantile_055_depth8_lgbm_l1_baseline_0.80_0.10_0.10,kpx_group_3,0.1377941798870484,0.3037155591604543,4566,0.582960689636703
family3_catboost_quantile_060_depth6_lgbm_l1_seed777_extra_trees_wide_0.70_0.15_0.15,kpx_group_1,0.1170606300041355,0.4222693213421226,4989,0.6526043456689936
family3_catboost_quantile_060_depth6_lgbm_l1_seed777_extra_trees_wide_0.70_0.15_0.15,kpx_group_2,0.12515365636580814,0.4448196715435442,4976,0.6598330075888681
