ensemble_id,model_id,members,weights,best_alpha,alpha_score,alpha_1_nmae,alpha_ficr,avg_nmae,delta_vs_baseline,worst_month_score,high_generation_score,delta_vs_current_anchor,candidate_class
anchor_plus_catboost_quantile_0525_depth6_0.05,anchor_plus_catboost_quantile_0525_depth6_0.05,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+catboost_quantile_0525_depth6,"{""catboost_quantile_055"": 0.57, ""lgbm_l1_baseline"": 0.19, ""extra_trees_wide"": 0.19, ""catboost_quantile_0525_depth6"": 0.05}",1.03,0.6264497786627202,0.8730379612873411,0.3798615960380994,0.12696203871265885,0.005723803762720192,,,0.0003596914627201908,keep
anchor_plus_catboost_quantile_0525_depth6_0.07,anchor_plus_catboost_quantile_0525_depth6_0.07,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+catboost_quantile_0525_depth6,"{""catboost_quantile_055"": 0.5579999999999999, ""lgbm_l1_baseline"": 0.186, ""extra_trees_wide"": 0.186, ""catboost_quantile_0525_depth6"": 0.07}",1.03,0.626355895708532,0.8730171197727852,0.3796946716442788,0.1269828802272148,0.005629920808531974,,,0.0002658085085319728,stability
anchor_plus_catboost_quantile_0525_depth6_0.10,anchor_plus_catboost_quantile_0525_depth6_0.10,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+catboost_quantile_0525_depth6,"{""catboost_quantile_055"": 0.54, ""lgbm_l1_baseline"": 0.18000000000000002, ""extra_trees_wide"": 0.18000000000000002, ""catboost_quantile_0525_depth6"": 0.1}",1.03,0.6263131878932385,0.8729832255090721,0.3796431502774049,0.12701677449092783,0.0055872129932384995,,,0.00022310069323849824,stability
anchor_plus_catboost_quantile_0525_depth6_0.15,anchor_plus_catboost_quantile_0525_depth6_0.15,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+catboost_quantile_0525_depth6,"{""catboost_quantile_055"": 0.51, ""lgbm_l1_baseline"": 0.17, ""extra_trees_wide"": 0.17, ""catboost_quantile_0525_depth6"": 0.15}",1.03,0.6261128738486316,0.8729184087347931,0.3793073389624701,0.12708159126520693,0.0053868989486315355,,,2.2786648631534234e-05,stability
anchor_plus_catboost_quantile_0525_depth6_0.20,anchor_plus_catboost_quantile_0525_depth6_0.20,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+catboost_quantile_0525_depth6,"{""catboost_quantile_055"": 0.48, ""lgbm_l1_baseline"": 0.16000000000000003, ""extra_trees_wide"": 0.16000000000000003, ""catboost_quantile_0525_depth6"": 0.2}",1.03,0.6257451875631214,0.872843619906976,0.3786467552192668,0.12715638009302396,0.005019212663121331,,,-0.00034489963687867053,reject
anchor_plus_lgbm_l1_leaf15_regularized_0.01,anchor_plus_lgbm_l1_leaf15_regularized_0.01,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+lgbm_l1_leaf15_regularized,"{""catboost_quantile_055"": 0.594, ""lgbm_l1_baseline"": 0.198, ""extra_trees_wide"": 0.198, ""lgbm_l1_leaf15_regularized"": 0.01}",1.03,0.6260289360119633,0.8730974613916548,0.3789604106322719,0.12690253860834524,0.005302961111963267,,,-6.115118803673436e-05,reject
anchor_plus_lgbm_l1_leaf15_regularized_0.03,anchor_plus_lgbm_l1_leaf15_regularized_0.03,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+lgbm_l1_leaf15_regularized,"{""catboost_quantile_055"": 0.582, ""lgbm_l1_baseline"": 0.194, ""extra_trees_wide"": 0.194, ""lgbm_l1_leaf15_regularized"": 0.03}",1.03,0.6259940968442816,0.8731216543296586,0.37886653935890474,0.1268783456703414,0.005268121944281612,,,-9.599035571838943e-05,reject
anchor_plus_lgbm_l1_leaf15_regularized_0.05,anchor_plus_lgbm_l1_leaf15_regularized_0.05,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+lgbm_l1_leaf15_regularized,"{""catboost_quantile_055"": 0.57, ""lgbm_l1_baseline"": 0.19, ""extra_trees_wide"": 0.19, ""lgbm_l1_leaf15_regularized"": 0.05}",1.03,0.6256089978631337,0.8731424694018123,0.37807552632445524,0.1268575305981877,0.0048830229631336985,,,-0.00048108933686630273,reject
anchor_plus_lgbm_l1_leaf15_regularized_0.07,anchor_plus_lgbm_l1_leaf15_regularized_0.07,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+lgbm_l1_leaf15_regularized,"{""catboost_quantile_055"": 0.5579999999999999, ""lgbm_l1_baseline"": 0.186, ""extra_trees_wide"": 0.186, ""lgbm_l1_leaf15_regularized"": 0.07}",1.03,0.625617028549434,0.8731596128952831,0.3780744442035849,0.12684038710471693,0.004891053649433985,,,-0.00047305865056601615,reject
anchor_plus_lgbm_l1_leaf15_regularized_0.10,anchor_plus_lgbm_l1_leaf15_regularized_0.10,catboost_quantile_055+lgbm_l1_baseline+extra_trees_wide+lgbm_l1_leaf15_regularized,"{""catboost_quantile_055"": 0.54, ""lgbm_l1_baseline"": 0.18000000000000002, ""extra_trees_wide"": 0.18000000000000002, ""lgbm_l1_leaf15_regularized"": 0.1}",1.03,0.6259807665154986,0.8731805423345673,0.37878099069642984,0.1268194576654327,0.005254791615498577,,,-0.00010932068450142385,reject
