model_id,reference_id,target,pearson,spearman,both_outside_8pct_rate,model_better_abs_error_rate,actual_weighted_boundary_gain
elastic_net,lgbm_l1_baseline,kpx_group_1,0.84080040539989,0.8121518574142621,0.4307476448186009,0.46983363399478856,7039320.18
elastic_net,lgbm_l1_baseline,kpx_group_2,0.8308308906797504,0.794350280595132,0.4352893890675241,0.4180064308681672,5985823.755000001
elastic_net,lgbm_l1_baseline,kpx_group_3,0.8091660062506575,0.8093927885620168,0.5026281208935611,0.48335523434077965,5763033.267
elastic_net,current_best_anchor,kpx_group_1,0.8621581096316769,0.839148246938257,0.44237322108639004,0.4606133493686109,6475025.62
elastic_net,current_best_anchor,kpx_group_2,0.8481660752152256,0.8162004919154443,0.42986334405144694,0.40614951768488744,5964013.32
elastic_net,current_best_anchor,kpx_group_3,0.8420933244966284,0.8387077149647509,0.5010950503723172,0.47174770039421815,5627556.873
explainable_boosting,lgbm_l1_baseline,kpx_group_1,0.8936415450902578,0.8681637298542182,0.4554018841451193,0.4806574463820405,5968496.9120000005
explainable_boosting,lgbm_l1_baseline,kpx_group_2,0.8848826003456891,0.8438493700089283,0.43488745980707394,0.4622186495176849,6796845.334
explainable_boosting,lgbm_l1_baseline,kpx_group_3,0.884098885375073,0.8767166291295354,0.5372317126587823,0.45356986421375384,4504998.872
explainable_boosting,current_best_anchor,kpx_group_1,0.9108014984923465,0.8909093125951933,0.4702345159350571,0.4750450992182802,5099666.093
explainable_boosting,current_best_anchor,kpx_group_2,0.9009648730398162,0.8667725428373508,0.44312700964630225,0.45397909967845657,6023601.528
explainable_boosting,current_best_anchor,kpx_group_3,0.8925143398222497,0.8879591632175493,0.5378887428821726,0.43035479632063073,4147585.3200000003
extra_trees_bootstrap_leaf3,lgbm_l1_baseline,kpx_group_1,0.9472121753913912,0.9300696960381895,0.49288434556023253,0.4878733213068751,3784386.505
extra_trees_bootstrap_leaf3,lgbm_l1_baseline,kpx_group_2,0.9518213944944304,0.9283172709670743,0.4658360128617363,0.5363745980707395,4650411.47
extra_trees_bootstrap_leaf3,lgbm_l1_baseline,kpx_group_3,0.9506687367922685,0.946702948622614,0.5595707402540517,0.5183968462549278,3330214.41
extra_trees_bootstrap_leaf3,current_best_anchor,kpx_group_1,0.9666393865838953,0.9551599378403351,0.504710362798156,0.46422128683102826,3238460.1459999997
extra_trees_bootstrap_leaf3,current_best_anchor,kpx_group_2,0.9691163076667946,0.9532124512403845,0.4762861736334405,0.5144694533762058,4063742.4
extra_trees_bootstrap_leaf3,current_best_anchor,kpx_group_3,0.9707710773736155,0.9681902373254708,0.5692071835304424,0.480946123521682,2796625.132
extra_trees_leaf5_sqrt,lgbm_l1_baseline,kpx_group_1,0.9182820240123358,0.8942276749127356,0.48145921026257765,0.47704950891962317,4106538.8850000002
extra_trees_leaf5_sqrt,lgbm_l1_baseline,kpx_group_2,0.9278108868407362,0.8957511637505444,0.4495578778135048,0.5058279742765274,5426041.7
extra_trees_leaf5_sqrt,lgbm_l1_baseline,kpx_group_3,0.9257517608436345,0.9197944743357206,0.5429259745948314,0.49934296977660975,3882041.734
extra_trees_leaf5_sqrt,current_best_anchor,kpx_group_1,0.9473458499605524,0.930529962754717,0.4906794948887553,0.4582080577269994,3731567.0530000003
extra_trees_leaf5_sqrt,current_best_anchor,kpx_group_2,0.9516365757997921,0.9268932374027735,0.45860128617363344,0.4971864951768489,4824793.764
extra_trees_leaf5_sqrt,current_best_anchor,kpx_group_3,0.9536984608574774,0.9490588091224729,0.5514673674989049,0.4734997809899255,3400722.3070000005
extra_trees_wide,lgbm_l1_baseline,kpx_group_1,0.9452382681089345,0.9275465415189955,0.49288434556023253,0.4902786129484867,3803101.8340000003
extra_trees_wide,lgbm_l1_baseline,kpx_group_2,0.9493172761586528,0.9249438229408578,0.4670418006430868,0.5329581993569131,4687625.177
extra_trees_wide,lgbm_l1_baseline,kpx_group_3,0.9470879079444625,0.942803971011076,0.5549715286903197,0.5116075339465616,3493677.0190000003
extra_trees_wide,current_best_anchor,kpx_group_1,0.9638544787491297,0.952005846088716,0.5039085989176187,0.4720384846662658,3260125.957
extra_trees_wide,current_best_anchor,kpx_group_2,0.9672368122166238,0.9502800936140985,0.4758842443729904,0.515072347266881,4113553.517
extra_trees_wide,current_best_anchor,kpx_group_3,0.9674616643133097,0.9648695126048971,0.5639509417433202,0.4835742444152431,2955488.458
flaml_automl,lgbm_l1_baseline,kpx_group_1,0.9092691156797326,0.8903272781063712,0.47043495690519144,0.46802966526357986,5156795.569
flaml_automl,lgbm_l1_baseline,kpx_group_2,0.8650086008034539,0.8261249340632202,0.44352893890675243,0.4465434083601286,6554949.029
flaml_automl,lgbm_l1_baseline,kpx_group_3,0.8555259882833317,0.8474118330330815,0.529347349978099,0.4323258869908016,5245816.289
flaml_automl,current_best_anchor,kpx_group_1,0.9167110582006839,0.8992089094812128,0.47724994988975744,0.45620364802565644,4820064.319
flaml_automl,current_best_anchor,kpx_group_2,0.866539302080118,0.8308482396112983,0.44192122186495175,0.43388263665594856,6362560.104
flaml_automl,current_best_anchor,kpx_group_3,0.8542876050838004,0.847383860750176,0.5214629872974157,0.4161191414805081,5122720.353
gradient_boosting_quantile,lgbm_l1_baseline,kpx_group_1,0.9221156046292084,0.9040505294776593,0.4854680296652636,0.4580076167568651,4530960.254
gradient_boosting_quantile,lgbm_l1_baseline,kpx_group_2,0.9332063764984712,0.9118064260587635,0.4642282958199357,0.4815112540192926,5349618.388
gradient_boosting_quantile,lgbm_l1_baseline,kpx_group_3,0.925342773001914,0.9219248399021363,0.5462111257117828,0.5383267630310994,4762703.43
gradient_boosting_quantile,current_best_anchor,kpx_group_1,0.9418919225856798,0.9299347588612872,0.4976949288434556,0.435558228101824,3900120.698
gradient_boosting_quantile,current_best_anchor,kpx_group_2,0.9516664064174616,0.9355187181982683,0.4740755627009646,0.4521704180064309,4527344.468
gradient_boosting_quantile,current_best_anchor,kpx_group_3,0.9446879621435709,0.9416132882636976,0.5567236092860272,0.49759088918090233,3908567.1780000003
h2o_automl,lgbm_l1_baseline,kpx_group_1,0.9230883643183782,0.9086004631950074,0.4760473040689517,0.4806574463820405,5236762.359999999
h2o_automl,lgbm_l1_baseline,kpx_group_2,0.9476324902425927,0.9269697154926039,0.47608520900321544,0.502411575562701,4367598.877
h2o_automl,lgbm_l1_baseline,kpx_group_3,0.9442019721372837,0.9407430027651549,0.5604467805519053,0.48007008322382827,3774291.216
h2o_automl,current_best_anchor,kpx_group_1,0.9265494463127234,0.9140300708583332,0.481659651232712,0.46462216877129686,5102095.894
h2o_automl,current_best_anchor,kpx_group_2,0.950423114824683,0.9354987270322607,0.4764871382636656,0.4867363344051447,4105873.579
h2o_automl,current_best_anchor,kpx_group_3,0.9479564101822588,0.9467848194721911,0.5608848007008322,0.4522558037669733,3360861.8550000004
hist_gbdt_absolute,lgbm_l1_baseline,kpx_group_1,0.982499469861459,0.9773518114864151,0.5275606333934656,0.47324113048707156,2573212.7360000005
