model_id,model_family,raw_score,raw_1_nmae,raw_ficr,best_alpha,alpha_score,alpha_1_nmae,alpha_ficr,avg_nmae,delta_vs_baseline,worst_month_score,high_generation_score,group_1_score,group_2_score,group_3_score,train_seconds,predict_seconds,status,notes,months_better_than_lgbm,groups_better_than_lgbm,months_better_than_current_anchor,groups_better_than_current_anchor,delta_vs_current_anchor
lgbm_l1_baseline,LightGBM,0.6117673564727266,0.8700286771288893,0.3535060358165638,1.03,0.6213552467009833,0.8712021483970117,0.37150834500495483,0.12879785160298826,0.0006292718009832665,0.6026838369238885,0.6159288142378625,0.6455045729023654,0.6553938738628603,0.5631672933377241,,,ok,current B1/W4 baseline model; included as anchor; loaded cached prediction,0.0,0.0,3.0,0.0,-0.004734840499016735
lgbm_l1_leaf15_regularized,LightGBM,0.6133105268714333,0.870042608395,0.3565784453478665,1.03,0.6206897583247201,0.8709024651480862,0.37047705150135385,0.12909753485191375,-3.621657527996813e-05,0.5966992265679577,0.6162167159736996,0.642072987835306,0.6516527641794626,0.5683435229593916,9.20642600004794,0.1031093000201508,ok,ensemble-oriented L1 variant: conservative regularized tree,5.0,1.0,4.0,0.0,-0.005400328875279969
lgbm_l1_leaf63_seed42,LightGBM,0.6097792297292435,0.8691796401927688,0.350378819265718,1.03,0.6168609421853732,0.8702570273998267,0.36346485697091985,0.12974297260017334,-0.0038650327146267927,0.5999784507554264,0.6073550347562218,0.643524865762463,0.6540577872960245,0.5530001734976322,22.64161769999191,0.1823731000185944,ok,ensemble-oriented L1 variant: larger leaves,3.0,0.0,4.0,0.0,-0.009229145014626794
lgbm_l1_seed777,LightGBM,0.6117794196374227,0.8699617269992532,0.3535971122755921,1.03,0.6201343353835831,0.8709697757020686,0.3692988950650975,0.1290302242979314,-0.0005916395164169419,0.5981460938929071,0.6139098072036754,0.6400991422083722,0.6577767001577007,0.5625271637846763,12.024570200010205,0.105501500016544,ok,ensemble-oriented L1 seed variant,5.0,1.0,3.0,0.0,-0.005955751816416943
linear_svr,svm,0.34508119450403046,0.6649521919636359,0.025210197044425068,1.03,0.34838397452573544,0.6696980011583691,0.027069947893101843,0.33030199884163086,-0.2723420003742646,0.3062745097503574,0.25694478425566436,0.3502666220766388,0.3420067680865418,0.352878533414026,,,ok,linear SVR sampled first-pass; loaded cached prediction,0.0,0.0,0.0,0.0,-0.2777061126742646
mlp_regressor_medium,neural_sklearn,0.5927223837365753,0.8592342434269353,0.32621052404621514,1.025,0.5967124884710174,0.8589782458275536,0.33444673111448137,0.14102175417244645,-0.0240134864289826,0.5643880873810709,0.5918796122510279,0.6291089749869216,0.6046465327845211,0.5563819576416096,53.191613899951335,0.1816364000551402,ok,medium sklearn MLP diversity variant,1.0,0.0,1.0,0.0,-0.0293775987289826
mlp_regressor,neural_sklearn,0.4791139954405047,0.7872696946861215,0.17095829619488792,1.03,0.4858949857119397,0.7908462958323137,0.18094367559156563,0.20915370416768628,-0.13483098918806036,0.4292642333063522,0.4391136098527363,0.5013174489673652,0.4814483253909386,0.4749191827775152,,,ok,sklearn MLP first-pass tabular neural baseline; loaded cached prediction,0.0,0.0,0.0,0.0,-0.14019510148806036
ngboost_normal_260_lr03,NGBoost,0.5946977086923613,0.8668609727892815,0.32253444459544095,1.03,0.6049141558984297,0.8687889546685733,0.3410393571282861,0.1312110453314267,-0.01581181900157036,0.5770894388192467,0.596315124128789,0.6149013528340096,0.6358742918580629,0.5639668230032165,,,ok,loaded cached prediction,1.0,1.0,0.0,0.0,-0.02117593130157036
ngboost_normal,NGBoost,0.591864093603968,0.8645858976681665,0.3191422895397694,1.03,0.6018922584679015,0.8664986408775689,0.33728587605823407,0.13350135912243113,-0.018833716432098524,0.551371620935052,0.5934726233127503,0.6075597837830833,0.6363450495745328,0.5617719420460885,,,ok,loaded cached prediction,0.0,0.0,1.0,0.0,-0.024197828732098525
nystroem_ridge,kernel,0.45163815737780766,0.7722085916674645,0.13106772308815082,1.03,0.4557875610257681,0.7762084274698945,0.13536669458164172,0.22379157253010548,-0.16493841387423192,0.3790492299108055,0.327942217083625,0.45886410200260175,0.4527572852718872,0.45574129580281547,,,ok,kernel approximation + ridge; nonlinear low-rank diversity; loaded cached prediction,1.0,0.0,1.0,0.0,-0.17030252617423192
