model_id,target,nmae,ficr,eligible_hours,group_score
pycaret_compare__alpha,kpx_group_2,0.12318262660548504,0.41684934646851185,4976,0.6468333599315134
pycaret_compare__alpha,kpx_group_3,0.1455538817729574,0.26412962501658566,4566,0.5592878716218141
radius_neighbors__alpha,kpx_group_1,0.496836603032744,0.00017650406483299392,4989,0.25166995051604446
radius_neighbors__alpha,kpx_group_2,0.5124484730205268,0.0007337776550784887,4976,0.24414265231727586
radius_neighbors__alpha,kpx_group_3,0.48409624837478754,0.0006874700310611349,4566,0.25829561082813685
random_forest_wide__alpha,kpx_group_1,0.12297466773986063,0.3539401158864096,4989,0.6154827240732745
random_forest_wide__alpha,kpx_group_2,0.12281278905649898,0.4149134474946866,4976,0.6460503292190938
random_forest_wide__alpha,kpx_group_3,0.1491009334784224,0.25903024085548193,4566,0.5549646536885298
sgd_huber__alpha,kpx_group_1,0.4575879974668177,0.0006116918961573388,4989,0.27151184721466975
sgd_huber__alpha,kpx_group_2,0.4730327950052853,0.0016595853877037256,4976,0.2643133951912092
sgd_huber__alpha,kpx_group_3,0.45764991436156494,0.0002336433051726209,4566,0.27129186447180387
svr_rbf_sampled__alpha,kpx_group_1,0.27292213955412775,0.10192131696224471,4989,0.4144995887040585
svr_rbf_sampled__alpha,kpx_group_2,0.2877120072516851,0.08802094218341443,4976,0.40015446746586464
svr_rbf_sampled__alpha,kpx_group_3,0.3127060182210403,0.08110356824986122,4566,0.3841987750144104
tabm_torch__alpha,kpx_group_1,0.1452136424724502,0.2848099625667172,4989,0.5697981600471336
tabm_torch__alpha,kpx_group_2,0.15545620897620868,0.30045874863547845,4976,0.5725012698296349
tabm_torch__alpha,kpx_group_3,0.1695129883781167,0.23900273590879742,4566,0.5347448737653404
xgboost_pseudohuber__alpha,kpx_group_1,0.49687189996505443,0.0,4989,0.2515640500174728
xgboost_pseudohuber__alpha,kpx_group_2,0.5128816476429127,0.0,4976,0.24355917617854367
xgboost_pseudohuber__alpha,kpx_group_3,0.4843932895123067,0.0,4566,0.2578033552438467
xgboost_squarederror__alpha,kpx_group_1,0.11942315981821305,0.3828003530227369,4989,0.631688596602262
xgboost_squarederror__alpha,kpx_group_2,0.12282759361116122,0.4178454776172025,4976,0.6475089420030207
xgboost_squarederror__alpha,kpx_group_3,0.14906981014399276,0.26378799086646704,4566,0.5573590903612371
