ensemble_id,model_id,members,weights,best_alpha,alpha_score,alpha_1_nmae,alpha_ficr,avg_nmae,delta_vs_baseline,worst_month_score,high_generation_score
w2_lgbm_gradient_boosting_quantile_0.95,w2_lgbm_gradient_boosting_quantile_0.95,lgbm_l1_baseline+gradient_boosting_quantile,"{""lgbm_l1_baseline"": 0.95, ""gradient_boosting_quantile"": 0.050000000000000044}",1.03,0.6212023026536374,0.8715916992055164,0.37081290610175843,0.12840830079448365,0.00047632775363737334,,
w2_lgbm_gradient_boosting_quantile_1.00,w2_lgbm_gradient_boosting_quantile_1.00,lgbm_l1_baseline+gradient_boosting_quantile,"{""lgbm_l1_baseline"": 1.0, ""gradient_boosting_quantile"": 0.0}",1.03,0.6213552467009833,0.8712021483970117,0.37150834500495483,0.12879785160298826,0.0006292718009832665,,
w2_lgbm_xgboost_squarederror_0.50,w2_lgbm_xgboost_squarederror_0.50,lgbm_l1_baseline+xgboost_squarederror,"{""lgbm_l1_baseline"": 0.5, ""xgboost_squarederror"": 0.5}",1.03,0.6197315727691999,0.8718664685989743,0.3675966769394254,0.1281335314010257,-0.0009944021308001538,,
w2_lgbm_xgboost_squarederror_0.55,w2_lgbm_xgboost_squarederror_0.55,lgbm_l1_baseline+xgboost_squarederror,"{""lgbm_l1_baseline"": 0.55, ""xgboost_squarederror"": 0.44999999999999996}",1.03,0.6200783190126191,0.8719305277513548,0.36822611027388347,0.12806947224864515,-0.0006476558873809157,,
w2_lgbm_xgboost_squarederror_0.60,w2_lgbm_xgboost_squarederror_0.60,lgbm_l1_baseline+xgboost_squarederror,"{""lgbm_l1_baseline"": 0.6, ""xgboost_squarederror"": 0.4}",1.03,0.6201702635848187,0.8719682811440723,0.3683722460255651,0.1280317188559277,-0.0005557113151812842,,
w2_lgbm_xgboost_squarederror_0.65,w2_lgbm_xgboost_squarederror_0.65,lgbm_l1_baseline+xgboost_squarederror,"{""lgbm_l1_baseline"": 0.65, ""xgboost_squarederror"": 0.35}",1.03,0.6204269532883147,0.8719769177026716,0.3688769888739576,0.12802308229732837,-0.00029902161168537944,,
w2_lgbm_xgboost_squarederror_0.70,w2_lgbm_xgboost_squarederror_0.70,lgbm_l1_baseline+xgboost_squarederror,"{""lgbm_l1_baseline"": 0.7, ""xgboost_squarederror"": 0.30000000000000004}",1.03,0.6205248797216233,0.8719560602815889,0.36909369916165774,0.12804393971841113,-0.0002010951783767423,,
w2_lgbm_xgboost_squarederror_0.75,w2_lgbm_xgboost_squarederror_0.75,lgbm_l1_baseline+xgboost_squarederror,"{""lgbm_l1_baseline"": 0.75, ""xgboost_squarederror"": 0.25}",1.03,0.6207014719950749,0.8719077520919674,0.36949519189818236,0.1280922479080326,-2.4502904925172153e-05,,
w2_lgbm_xgboost_squarederror_0.80,w2_lgbm_xgboost_squarederror_0.80,lgbm_l1_baseline+xgboost_squarederror,"{""lgbm_l1_baseline"": 0.8, ""xgboost_squarederror"": 0.19999999999999996}",1.03,0.6206983795266049,0.8718267682387447,0.3695699908144651,0.1281732317612553,-2.759537339513951e-05,,
w2_lgbm_xgboost_squarederror_0.85,w2_lgbm_xgboost_squarederror_0.85,lgbm_l1_baseline+xgboost_squarederror,"{""lgbm_l1_baseline"": 0.85, ""xgboost_squarederror"": 0.15000000000000002}",1.03,0.620851352176851,0.8717171203612121,0.36998558399248976,0.12828287963878796,0.00012537727685091316,,
