model_id,model_family,raw_score,raw_1_nmae,raw_ficr,best_alpha,alpha_score,alpha_1_nmae,alpha_ficr,avg_nmae,delta_vs_baseline,worst_month_score,high_generation_score,group_1_score,group_2_score,group_3_score,train_seconds,predict_seconds,status,notes,months_better_than_lgbm,groups_better_than_lgbm
knn_distance,neighbors,0.5209899307288152,0.8276003087154912,0.21437955274213907,1.03,0.5325314039706474,0.83183024787612,0.2332325600651746,0.16816975212387994,-0.08819457092935268,0.45621819217231885,0.4834637757829084,0.5419983533925818,0.5438048851373631,0.5117909733819971,,,ok,distance-weighted KNN with robust scaling; loaded cached prediction,0.0,0.0
lgbm_l1_baseline,LightGBM,0.6117673564727266,0.8700286771288893,0.3535060358165638,1.03,0.6213552467009833,0.8712021483970117,0.37150834500495483,0.12879785160298826,0.0006292718009832665,0.6026838369238885,0.6159288142378625,0.6455045729023654,0.6553938738628603,0.5631672933377241,,,ok,current B1/W4 baseline model; included as anchor; loaded cached prediction,0.0,0.0
linear_svr,svm,0.34508119450403046,0.6649521919636359,0.025210197044425068,1.03,0.34838397452573544,0.6696980011583691,0.027069947893101843,0.33030199884163086,-0.2723420003742646,0.3062745097503574,0.25694478425566436,0.3502666220766388,0.3420067680865418,0.352878533414026,,,ok,linear SVR sampled first-pass; loaded cached prediction,0.0,0.0
mlp_regressor,neural_sklearn,0.4791139954405047,0.7872696946861215,0.17095829619488792,1.03,0.4858949857119397,0.7908462958323137,0.18094367559156563,0.20915370416768628,-0.13483098918806036,0.4292642333063522,0.4391136098527363,0.5013174489673652,0.4814483253909386,0.4749191827775152,,,ok,sklearn MLP first-pass tabular neural baseline; loaded cached prediction,0.0,0.0
ngboost_normal,NGBoost,0.591864093603968,0.8645858976681665,0.3191422895397694,1.03,0.6018922584679015,0.8664986408775689,0.33728587605823407,0.13350135912243113,-0.018833716432098524,0.551371620935052,0.5934726233127503,0.6075597837830833,0.6363450495745328,0.5617719420460885,202.572411799978,11.18998169992119,ok,NGBoost Normal distribution first-pass sampled,0.0,0.0
nystroem_ridge,kernel,0.45163815737780766,0.7722085916674645,0.13106772308815082,1.03,0.4557875610257681,0.7762084274698945,0.13536669458164172,0.22379157253010548,-0.16493841387423192,0.3790492299108055,0.327942217083625,0.45886410200260175,0.4527572852718872,0.45574129580281547,,,ok,kernel approximation + ridge; nonlinear low-rank diversity; loaded cached prediction,1.0,0.0
pycaret_compare,PyCaret,0.5933829764875689,0.8665602313644662,0.3202057216106715,1.03,0.6044577467080249,0.8689485406971862,0.33996695271886357,0.13105145930281387,-0.016268228191975154,0.5750696493281636,0.5863891510078615,0.607252008570747,0.6468333599315134,0.5592878716218141,445.2316852000658,2.304634600004647,ok,"PyCaret compare_models first-pass; budget_time_minutes=0.5; leaders={'kpx_group_1': 'RandomForestRegressor(n_jobs=-1, random_state=42)', 'kpx_group_2': 'RandomForestRegressor(n_jobs=-1, random_state=42)', 'kpx_group_3': 'ExtraTreesRegressor(n_jobs=-1, random_state=42)'}",2.0,0.0
radius_neighbors,neighbors,0.2513066760322382,0.5022012135063265,0.00041213855814994075,0.97,0.251369404553819,0.5022062251906472,0.0005325839169908726,0.4977937748093528,-0.369356570346181,0.18684177767839621,0.13003960479136722,0.25166995051604446,0.24414265231727586,0.25829561082813685,0.4655876999604516,2.6380686999764293,ok,radius neighbor feasibility with fallback outlier label,0.0,0.0
random_forest_wide,sklearn RandomForest,0.591935974767644,0.8661133599608173,0.31775858957447084,1.03,0.6054992356602994,0.8683705365750727,0.34262793474552605,0.13162946342492735,-0.015226739239700637,0.5796139363679503,0.587739210238396,0.6154827240732745,0.6460503292190938,0.5549646536885298,,,ok,bagging diversity; wider than #4 first run; loaded cached prediction,2.0,0.0
sgd_huber,linear,0.26848881812546965,0.5362042683976374,0.0007733678533019946,1.03,0.2690390356258943,0.5372430977221108,0.0008349735296778951,0.4627569022778893,-0.3516869392741057,0.21242263827541163,0.15580712422429016,0.27151184721466975,0.2643133951912092,0.27129186447180387,,,ok,fast robust linear SGD surrogate; loaded cached prediction,0.0,0.0
svr_rbf_sampled,svm,0.3966927948446806,0.7044716621796117,0.08891392750974954,1.03,0.39961761039477783,0.7088866116577155,0.09034860913184012,0.29111338834228445,-0.2211083645052222,0.3163800455596969,0.25429320784523435,0.4144995887040585,0.40015446746586464,0.3841987750144104,,,ok,sampled RBF SVR feasibility; loaded cached prediction,0.0,0.0
tabm_torch,TabM,0.5510068804420305,0.8403880286562446,0.2616257322278163,1.03,0.5590147678807029,0.8432723867244082,0.2747571490369977,0.15672761327559184,-0.06171120701929711,0.5067537381654876,0.5286581949564273,0.5697981600471336,0.5725012698296349,0.5347448737653404,38.43410130002303,4.513060700031929,ok,TabM torch wrapper first-pass; epochs=8; sampled rows,0.0,0.0
xgboost_pseudohuber,XGBoost,0.2509700742818922,0.5019401485637844,0.0,1.03,0.2509755271466211,0.5019510542932422,0.0,0.4980489457067579,-0.36975044775337895,0.18656509492088874,0.1296886622595606,0.2515640500174728,0.24355917617854367,0.2578033552438467,,,ok,XGBoost pseudo-Huber objective first-pass; loaded cached prediction,0.0,0.0
xgboost_squarederror,XGBoost,0.6031653922748563,0.8681771947052264,0.33815358984448624,1.03,0.6121855429888399,0.869559812142211,0.3548112738354688,0.13044018785778902,-0.008540431911160162,0.5847444540379431,0.6016344787073599,0.631688596602262,0.6475089420030207,0.5573590903612371,,,ok,XGBoost squared-error diversity baseline; loaded cached prediction,3.0,0.0
tabpfn_regressor,TabPFN,,,,,,,,,,,,,,,,,failed,TabPFN requires one-time Prior Labs license/API-key authentication before local weight download; non-interactive run failed with OSError WinError 10038,,
