model_id,target,pearson,spearman,both_outside_8pct_rate,model_better_abs_error_rate,actual_weighted_boundary_gain
gradient_boosting_quantile,kpx_group_1,0.9221156046292084,0.9040505294776593,0.4854680296652636,0.4580076167568651,4530960.254
gradient_boosting_quantile,kpx_group_2,0.9332063764984712,0.9118064260587635,0.4642282958199357,0.4815112540192926,5349618.388
gradient_boosting_quantile,kpx_group_3,0.925342773001914,0.9219248399021363,0.5462111257117828,0.5383267630310994,4762703.43
h2o_automl,kpx_group_1,0.9230883643183782,0.9086004631950074,0.4760473040689517,0.4806574463820405,5236762.359999999
h2o_automl,kpx_group_2,0.9476324902425927,0.9269697154926039,0.47608520900321544,0.502411575562701,4367598.877
h2o_automl,kpx_group_3,0.9442019721372837,0.9407430027651549,0.5604467805519053,0.48007008322382827,3774291.216
hist_gbdt_absolute,kpx_group_1,0.982499469861459,0.9773518114864151,0.5275606333934656,0.47324113048707156,2573212.7360000005
hist_gbdt_absolute,kpx_group_2,0.9863742011254906,0.9805659480913013,0.5196945337620579,0.5084405144694534,2304386.024
hist_gbdt_absolute,kpx_group_3,0.9852358539071473,0.9841316041449938,0.6000876040297853,0.5085413929040736,2022629.236
huber_regressor,kpx_group_1,0.8385209148661832,0.81125262186445,0.42894367608739226,0.4712367207857286,7282344.626
huber_regressor,kpx_group_2,0.8490626609789365,0.8105100376697459,0.4385048231511254,0.42805466237942125,5983625.357000001
huber_regressor,kpx_group_3,0.7994590056619253,0.7985895851518883,0.4997809899255366,0.4921156373193167,6496503.397
knn_distance,kpx_group_1,0.6595817602228552,0.6554620942606753,0.43235117257967526,0.39807576668671074,5621887.326
knn_distance,kpx_group_2,0.6510108737495224,0.5939287606929247,0.4129823151125402,0.39067524115755625,6350035.016999999
knn_distance,kpx_group_3,0.7226423439676865,0.7286523266289042,0.5030661410424879,0.40232150678931233,4752651.532000001
lgbm_l1_baseline,kpx_group_1,1.0,1.0,0.5728602926438164,0.0,0.0
lgbm_l1_baseline,kpx_group_2,0.9999999999999999,1.0,0.5633038585209004,0.0,0.0
lgbm_l1_baseline,kpx_group_3,1.0,1.0,0.6484888304862023,0.0,0.0
linear_svr,kpx_group_1,0.5970300084286214,0.5775885888264316,0.5227500501102426,0.10823812387251955,1034086.8640000001
linear_svr,kpx_group_2,0.5825475953984797,0.5189324962250736,0.5168810289389068,0.1157556270096463,987124.994
linear_svr,kpx_group_3,0.6864886480296832,0.6700885765519509,0.5904511607533947,0.13534822601839686,1022198.149
mlp_regressor,kpx_group_1,0.6240774087199665,0.604907894904018,0.4539987973541792,0.2928442573662057,5381755.517
mlp_regressor,kpx_group_2,0.6249827193224793,0.5695714158009424,0.46061093247588425,0.2745176848874598,4481930.148
mlp_regressor,kpx_group_3,0.6497863646237418,0.6572996890742441,0.5260621988611476,0.31975470871660094,4523815.461
ngboost_normal,kpx_group_1,0.9215038026291317,0.899938691257402,0.48326317899378635,0.45941070354780517,4317961.324
ngboost_normal,kpx_group_2,0.9260617362375414,0.9010721167943726,0.465032154340836,0.4865353697749196,4916837.306
ngboost_normal,kpx_group_3,0.9328078225745678,0.9268529097571868,0.5547525186158563,0.4774419623302672,3928367.235
nystroem_ridge,kpx_group_1,0.43892271055799986,0.43158521371013214,0.4449789536981359,0.31449188214070956,4428720.194
nystroem_ridge,kpx_group_2,0.3955428270239436,0.34698764186803516,0.43991157556270094,0.3108922829581994,4536094.677999999
nystroem_ridge,kpx_group_3,0.6177267282539293,0.5968830197123093,0.496933858957512,0.34187472623740695,4120756.1780000003
pycaret_compare,kpx_group_1,0.9240786405473117,0.910181888465649,0.49128081779915816,0.46422128683102826,3759249.5430000005
pycaret_compare,kpx_group_2,0.9410990018799706,0.9160817888285889,0.4577974276527331,0.5144694533762058,5202296.658000001
pycaret_compare,kpx_group_3,0.9361544665144121,0.9316311840623448,0.5464301357862462,0.5091984231274639,3874419.653
radius_neighbors,kpx_group_1,0.35055384661843764,0.3436960996562412,0.572659851673682,0.03487672880336741,9458.905
radius_neighbors,kpx_group_2,0.2919845114635077,0.2544058921741867,0.5629019292604501,0.05044212218649518,22981.958
radius_neighbors,kpx_group_3,0.5310818142636067,0.50782189402583,0.6476127901883487,0.04862023653088042,22981.958000000002
random_forest_wide,kpx_group_1,0.9382567408533414,0.924183484854557,0.4958909601122469,0.45961114451793944,3514764.3170000003
random_forest_wide,kpx_group_2,0.9496924728756568,0.9273359958028652,0.4690514469453376,0.5229099678456591,4547983.388
random_forest_wide,kpx_group_3,0.9382577998757852,0.9324401255138182,0.5580376697328077,0.48926850635129215,3464953.1950000003
sgd_huber,kpx_group_1,0.4031313970406854,0.3945173648986776,0.5696532371216677,0.04890759671276809,38067.034
sgd_huber,kpx_group_2,0.34919160779963837,0.3102260063800538,0.5558681672025724,0.059686495176848875,98783.37000000002
sgd_huber,kpx_group_3,0.5584592238959389,0.5370544649603822,0.6471747700394218,0.05694261936049058,13711.072
svr_rbf_sampled,kpx_group_1,0.4044445977032059,0.39600595952439,0.44197233914612144,0.2742032471437162,3186161.363
svr_rbf_sampled,kpx_group_2,0.34903589748406505,0.3070402385121407,0.4397106109324759,0.28014469453376206,3000251.937
svr_rbf_sampled,kpx_group_3,0.5831359767655372,0.5602257926971932,0.5306614104248796,0.2691633815155497,1969404.824
tabm_torch,kpx_group_1,0.780361889703204,0.7630081628586595,0.44377630787733013,0.41110442974544,6072443.623000001
tabm_torch,kpx_group_2,0.7655554507168095,0.7249922794935868,0.43609324758842444,0.4015273311897106,5927985.605
tabm_torch,kpx_group_3,0.7413884914697398,0.7590311477379371,0.5137976346911958,0.43407796758650896,5059603.136
xgboost_pseudohuber,kpx_group_1,0.35468604237506857,0.3465881328496931,0.5728602926438164,0.03487672880336741,0.0
xgboost_pseudohuber,kpx_group_2,0.2951461234824741,0.2567145579709002,0.5633038585209004,0.050241157556270094,0.0
xgboost_pseudohuber,kpx_group_3,0.5338617552227555,0.5103770869334467,0.6484888304862023,0.049277266754270695,0.0
xgboost_squarederror,kpx_group_1,0.9559212712217225,0.9449828541365926,0.4968931649629184,0.5053116857085588,3699878.273
xgboost_squarederror,kpx_group_2,0.9631233787330287,0.9466831781735741,0.48271704180064307,0.5247186495176849,4001435.1049999995
xgboost_squarederror,kpx_group_3,0.9534593965172571,0.9519342608737592,0.5700832238282961,0.482479194042926,2988609.088
