experiment,target,label_regime,rows,baseline_abs_error,candidate_abs_error,delta_abs_error,impact_delta,fail_to_pass8,pass_to_fail8,net_pass8
deploy_high_specialist_pred_ge_0.60::B1_plus_fundamental_all,kpx_group_2,ficr_boundary_8_12pct,224,0.10299452418209623,0.10314230021225308,0.00014777603015683562,0.03310183075513118,0,0,0
deploy_high_specialist_pred_ge_0.60::B1_plus_fundamental_all,kpx_group_2,high_50_80pct,1584,0.13230484442115287,0.1371109770798311,0.004806132658678257,7.6129141313463595,98,144,-46
deploy_high_specialist_pred_ge_0.60::B1_plus_fundamental_all,kpx_group_2,mid_12_50pct,2215,0.13110675131152713,0.13692571960347155,0.005818968291944415,12.889014766656878,0,16,-16
deploy_high_specialist_pred_ge_0.60::B1_plus_fundamental_all,kpx_group_2,very_high_80pct_plus,953,0.10177680964708505,0.08777818992816924,-0.013998619718915827,-13.340684592126783,94,56,38
deploy_high_specialist_pred_ge_0.60::B1_plus_fundamental_all,kpx_group_3,ficr_boundary_8_12pct,212,0.08120711003542756,0.08148621466927038,0.00027910463384280964,0.05917018237467564,0,0,0
deploy_high_specialist_pred_ge_0.60::B1_plus_fundamental_all,kpx_group_3,high_50_80pct,1353,0.13943275374641514,0.1470057473521332,0.007572993605718048,10.246260348536518,126,163,-37
deploy_high_specialist_pred_ge_0.60::B1_plus_fundamental_all,kpx_group_3,mid_12_50pct,2289,0.11970861500975122,0.12725621667431422,0.007547601664562982,17.276460210184666,0,19,-19
deploy_high_specialist_pred_ge_0.60::B1_plus_fundamental_all,kpx_group_3,very_high_80pct_plus,712,0.25626418960538966,0.2244665770813647,-0.0317976125240249,-22.639900117105732,48,16,32
deploy_high_specialist_pred_ge_0.60::B1_plus_proxy_power_curve,kpx_group_1,ficr_boundary_8_12pct,219,0.07044284511124083,0.070486879891456,4.403478021515428e-05,0.009643616867118787,0,0,0
deploy_high_specialist_pred_ge_0.60::B1_plus_proxy_power_curve,kpx_group_1,high_50_80pct,1611,0.12847016899989905,0.12934019689788656,0.0008700278979875151,1.4016149436578869,111,101,10
deploy_high_specialist_pred_ge_0.60::B1_plus_proxy_power_curve,kpx_group_1,mid_12_50pct,2319,0.11450728545556907,0.11811313447216044,0.0036058490165914035,8.361963869475465,0,16,-16
deploy_high_specialist_pred_ge_0.60::B1_plus_proxy_power_curve,kpx_group_1,very_high_80pct_plus,840,0.13474837294347627,0.12625596870860364,-0.008492404234872634,-7.133619557293013,86,46,40
deploy_high_specialist_pred_ge_0.60::B1_plus_proxy_power_curve,kpx_group_2,ficr_boundary_8_12pct,224,0.10299452418209623,0.10353765052888751,0.0005431263467912838,0.12166030168124758,0,0,0
deploy_high_specialist_pred_ge_0.60::B1_plus_proxy_power_curve,kpx_group_2,high_50_80pct,1584,0.13230484442115287,0.13691296953609952,0.004608125114946644,7.2992701820754835,116,157,-41
deploy_high_specialist_pred_ge_0.60::B1_plus_proxy_power_curve,kpx_group_2,mid_12_50pct,2215,0.13110675131152713,0.13672671982510226,0.005619968513575107,12.448230257568863,0,16,-16
