experiment,score,one_minus_nmae,avg_nmae,ficr,worst_month,high_generation_score,eligible_hours,gate,threshold,specialist,delta_score_vs_lead_base
deploy_high_specialist_pred_ge_0.65::B1_plus_proxy_power_curve,0.612759076118885,0.8690244028415461,0.13097559715845383,0.35649374939622386,0.5754623645590653,0.603723161991867,14531,specialist_pred,0.65,B1_plus_proxy_power_curve,0.0009239671673391125
deploy_high_specialist_pred_ge_0.70::B1_plus_fundamental_all,0.612731933503441,0.8691735407318179,0.13082645926818215,0.35629032627506424,0.5743545853817716,0.6027282559061532,14531,specialist_pred,0.7,B1_plus_fundamental_all,0.0008968245518951035
deploy_high_specialist_pred_ge_0.85::B1_plus_fundamental_all,0.6127307788119305,0.8696257259891218,0.13037427401087823,0.3558358316347392,0.5781336005742119,0.6012440447357569,14531,specialist_pred,0.85,B1_plus_fundamental_all,0.0008956698603845847
deploy_high_specialist_pred_ge_0.75::B1_plus_fundamental_all,0.6126283269448609,0.8693687056359025,0.13063129436409746,0.35588794825381925,0.5783625822715388,0.6017545129924444,14531,specialist_pred,0.75,B1_plus_fundamental_all,0.0007932179933149985
deploy_high_specialist_pred_ge_0.85::B1_plus_proxy_power_curve,0.6125759034033208,0.8694495605900856,0.13055043940991437,0.35570224621655605,0.5784084806300381,0.6010377431049785,14531,specialist_pred,0.85,B1_plus_proxy_power_curve,0.0007407944517748843
deploy_high_lead_pred_ge_0.85::B1_plus_scada_wind_proxy,0.612301783211568,0.8699665954804721,0.1300334045195279,0.35463697094266405,0.5816432289894158,0.6007016924542317,14531,lead_pred,0.85,B1_plus_scada_wind_proxy,0.0004666742600221152
deploy_high_specialist_pred_ge_0.70::B1_plus_proxy_power_curve,0.612300051630235,0.8688995221963637,0.13110047780363632,0.3557005810641065,0.5732574631241892,0.6020735678618029,14531,specialist_pred,0.7,B1_plus_proxy_power_curve,0.00046494267868912864
deploy_high_specialist_pred_ge_0.75::B1_plus_scada_wind_proxy,0.6121133744208068,0.8689100698153489,0.13108993018465115,0.3553166790262648,0.5826291920395597,0.6007437790726989,14531,specialist_pred,0.75,B1_plus_scada_wind_proxy,0.00027826546926090767
deploy_high_lead_pred_ge_0.90::B1_plus_scada_wind_proxy,0.612112063477019,0.8700049826306048,0.1299950173693952,0.35421914432343304,0.5725988926404547,0.6005090935226686,14531,lead_pred,0.9,B1_plus_scada_wind_proxy,0.0002769545254730499
deploy_high_specialist_pred_ge_0.70::B1_plus_scada_wind_proxy,0.6120764969452243,0.8687479109568563,0.13125208904314367,0.3554050829335922,0.5800967088962595,0.6016156977135886,14531,specialist_pred,0.7,B1_plus_scada_wind_proxy,0.00024138799367834363
deploy_high_lead_pred_ge_0.90::B1_plus_proxy_power_curve,0.6120415183706559,0.8700268947534678,0.12997310524653213,0.3540561419878439,0.5722632502980235,0.6004119865136837,14531,lead_pred,0.9,B1_plus_proxy_power_curve,0.00020640941910998745
deploy_boundary_lead_pred_0.08_0.12::B1_plus_proxy_power_curve,0.6120020730553412,0.8698245120863421,0.13017548791365782,0.3541796340243401,0.5740274567562003,0.6001469737739186,14531,lead_pred,,B1_plus_proxy_power_curve,0.00016696410379524185
deploy_high_lead_pred_ge_0.90::B1_plus_fundamental_all,0.6119677150633033,0.8700035544324173,0.1299964455675827,0.3539318756941892,0.571480134070938,0.6003092688603693,14531,lead_pred,0.9,B1_plus_fundamental_all,0.0001326061117573607
deploy_boundary_lead_pred_0.08_0.12::B1_plus_scada_wind_proxy,0.6119210269778362,0.8698136314276509,0.13018636857234914,0.35402842252802164,0.5737000561265513,0.6001426823597051,14531,lead_pred,,B1_plus_scada_wind_proxy,8.591802629032141e-05
deploy_boundary_lead_pred_0.06_0.14::B1_plus_scada_wind_proxy,0.6119020943340941,0.8697741720234488,0.13022582797655127,0.3540300166447395,0.5731832700823138,0.6001662646161627,14531,lead_pred,,B1_plus_scada_wind_proxy,6.698538254823472e-05
deploy_boundary_lead_pred_0.06_0.14::B1_plus_proxy_power_curve,0.6118962859497259,0.8697545301529974,0.1302454698470026,0.3540380417464544,0.5734983337352715,0.600171527231747,14531,lead_pred,,B1_plus_proxy_power_curve,6.117699817997924e-05
